time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/09:57:55.252782,144088,1499565475,252588987,0,106,60,30,31,116,27,31,63
2017/07/09/09:57:55.276055,144089,1499565475,275748014,0,85,66,35,26,101,25,33,60
2017/07/09/09:57:55.294401,144090,1499565475,290419101,0,74,66,34,24,58,22,30,52
2017/07/09/09:57:55.313063,144091,1499565475,312834024,0,65,120,72,34,45,24,34,52
2017/07/09/09:57:55.335702,144092,1499565475,335303068,0,68,137,79,34,40,25,33,50
2017/07/09/09:57:55.350474,144093,1499565475,349972009,0,57,140,83,33,39,44,33,46
2017/07/09/09:57:55.373059,144094,1499565475,372545957,0,50,139,93,37,36,45,36,51
2017/07/09/09:57:55.395324,144095,1499565475,395088911,0,59,176,146,45,37,52,46,67
2017/07/09/09:57:55.410617,144096,1499565475,410353899,0,70,168,195,67,46,60,55,71
2017/07/09/09:57:55.441000,144097,1499565475,440761089,0,87,186,205,77,52,63,59,94
2017/07/09/09:57:55.455278,144098,1499565475,455101013,0,128,187,206,77,51,62,59,98
2017/07/09/09:57:55.472049,144099,1499565475,470715045,0,135,188,201,76,50,61,60,101
2017/07/09/09:57:55.501497,144100,1499565475,500945091,0,134,172,183,80,49,56,54,97
2017/07/09/09:57:55.515594,144101,1499565475,515340089,0,135,179,132,66,41,51,69,112
2017/07/09/09:57:55.530268,144102,1499565475,530057907,0,133,172,148,63,37,50,71,104
2017/07/09/09:57:55.553046,144103,1499565475,552748918,0,104,172,150,66,39,40,86,108
2017/07/09/09:57:55.575418,144104,1499565475,575227022,0,117,168,154,66,40,51,93,114
2017/07/09/09:57:55.590605,144105,1499565475,590292930,0,123,192,148,60,41,52,96,116
2017/07/09/09:57:55.612896,144106,1499565475,612679004,0,123,188,138,65,65,65,187,124
2017/07/09/09:57:55.635497,144107,1499565475,635078907,0,117,207,145,65,67,78,196,122
2017/07/09/09:57:55.650416,144108,1499565475,650206089,0,127,225,159,71,69,84,204,123
2017/07/09/09:57:55.673316,144109,1499565475,672947883,0,110,238,167,78,71,84,238,123
2017/07/09/09:57:55.695313,144110,1499565475,695118904,0,139,340,214,92,77,93,280,132
2017/07/09/09:57:55.710121,144111,1499565475,709969997,0,166,488,288,153,129,111,272,135
2017/07/09/09:57:55.732908,144112,1499565475,732624053,0,172,505,295,162,270,150,379,217
2017/07/09/09:57:55.755699,144113,1499565475,755279064,0,182,523,292,161,285,153,416,291
2017/07/09/09:57:55.770371,144114,1499565475,770145893,0,267,702,467,184,296,163,420,303
2017/07/09/09:57:55.793353,144115,1499565475,793021917,0,322,705,463,183,303,172,450,347
2017/07/09/09:57:55.815196,144116,1499565475,814996957,0,338,617,432,155,288,174,496,398
2017/07/09/09:57:55.831803,144117,1499565475,831590890,0,399,664,482,216,225,164,531,426
2017/07/09/09:57:55.852937,144118,1499565475,852669000,0,431,740,514,231,264,198,627,412
2017/07/09/09:57:55.875256,144119,1499565475,875077009,0,441,615,377,237,260,213,693,442
2017/07/09/09:57:55.890257,144120,1499565475,890070915,0,402,606,375,239,257,209,681,430
2017/07/09/09:57:55.914496,144121,1499565475,914252996,0,385,606,369,243,326,224,706,417
2017/07/09/09:57:55.936636,144122,1499565475,936537027,0,357,650,332,196,362,250,711,480
2017/07/09/09:57:55.958330,144123,1499565475,958031892,0,383,628,329,193,353,256,750,646
2017/07/09/09:57:55.974367,144124,1499565475,974189043,0,468,595,320,206,356,249,731,637
2017/07/09/09:57:55.996541,144125,1499565475,996404886,0,468,551,300,204,386,260,767,643
2017/07/09/09:57:56.017875,144126,1499565476,17644882,0,485,653,400,196,355,270,804,654
2017/07/09/09:57:56.034251,144127,1499565476,34013032,0,525,557,364,186,279,248,836,626
2017/07/09/09:57:56.063033,144128,1499565476,62730073,0,513,466,319,180,260,230,763,452
2017/07/09/09:57:56.077771,144129,1499565476,77569007,0,386,462,312,137,256,224,729,443
