time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/10:02:30.016568,157793,1499565750,16237974,0,181,519,195,78,79,123,353,208
2017/07/09/10:02:30.038846,157794,1499565750,38366079,0,196,487,175,78,79,122,346,185
2017/07/09/10:02:30.061107,157795,1499565750,60832023,0,200,490,176,79,75,116,356,165
2017/07/09/10:02:30.076285,157796,1499565750,76033115,0,225,517,163,98,128,172,523,307
2017/07/09/10:02:30.099756,157797,1499565750,99615097,0,188,457,191,125,162,214,512,311
2017/07/09/10:02:30.121249,157798,1499565750,121006011,0,254,484,199,133,164,221,511,314
2017/07/09/10:02:30.136163,157799,1499565750,135860919,0,250,497,222,136,163,220,525,328
2017/07/09/10:02:30.158763,157800,1499565750,158488035,0,246,538,246,144,168,229,568,335
2017/07/09/10:02:30.181243,157801,1499565750,180880069,0,245,590,262,132,134,194,466,238
2017/07/09/10:02:30.195920,157802,1499565750,195780038,0,268,602,244,109,92,145,490,244
2017/07/09/10:02:30.218479,157803,1499565750,218266963,0,230,605,255,105,107,179,656,396
2017/07/09/10:02:30.240957,157804,1499565750,240712881,0,229,582,242,116,107,187,668,435
2017/07/09/10:02:30.256067,157805,1499565750,255820989,0,242,655,260,116,105,182,630,464
2017/07/09/10:02:30.280020,157806,1499565750,279907941,0,237,615,255,119,109,189,680,470
2017/07/09/10:02:30.301457,157807,1499565750,301249027,0,212,601,271,129,116,192,657,488
2017/07/09/10:02:30.316701,157808,1499565750,316381931,0,195,570,263,133,111,185,555,396
2017/07/09/10:02:30.338467,157809,1499565750,338198900,0,191,571,261,132,118,185,602,384
2017/07/09/10:02:30.361212,157810,1499565750,360857009,0,176,507,244,138,117,183,607,354
2017/07/09/10:02:30.376435,157811,1499565750,376094102,0,152,503,243,143,113,172,595,345
2017/07/09/10:02:30.398690,157812,1499565750,398507118,0,155,489,235,154,114,193,724,423
2017/07/09/10:02:30.420959,157813,1499565750,420783996,0,162,545,239,152,113,199,798,454
2017/07/09/10:02:30.443635,157814,1499565750,443280935,0,178,614,266,157,118,203,784,463
2017/07/09/10:02:30.459009,157815,1499565750,458601951,0,179,573,246,153,120,203,793,488
2017/07/09/10:02:30.481810,157816,1499565750,481323957,0,187,538,239,163,142,259,853,505
2017/07/09/10:02:30.504026,157817,1499565750,503755092,0,206,593,254,151,137,243,738,421
2017/07/09/10:02:30.518542,157818,1499565750,518309116,0,248,577,252,149,131,225,697,425
2017/07/09/10:02:30.541054,157819,1499565750,540759086,0,249,490,228,144,142,249,740,421
2017/07/09/10:02:30.563611,157820,1499565750,563509941,0,246,473,220,141,160,271,747,432
2017/07/09/10:02:30.578607,157821,1499565750,578418016,0,252,530,225,123,153,249,735,493
2017/07/09/10:02:30.600992,157822,1499565750,600847959,0,264,474,193,114,157,252,753,501
2017/07/09/10:02:30.623614,157823,1499565750,623281955,0,255,446,191,104,157,250,685,457
2017/07/09/10:02:30.638316,157824,1499565750,638147115,0,268,454,192,97,142,224,597,446
2017/07/09/10:02:30.669626,157825,1499565750,669285058,0,271,479,198,94,138,230,603,416
2017/07/09/10:02:30.700109,157826,1499565750,699769020,0,279,574,228,117,140,193,558,373
2017/07/09/10:02:30.701492,157827,1499565750,701330900,0,286,585,256,130,137,187,564,400
2017/07/09/10:02:30.720790,157828,1499565750,720671892,0,274,587,247,128,134,181,555,414
2017/07/09/10:02:30.744004,157829,1499565750,743575096,0,267,601,258,131,138,174,554,405
2017/07/09/10:02:30.758538,157830,1499565750,758296012,0,282,631,263,142,137,130,522,437
2017/07/09/10:02:30.781474,157831,1499565750,781280040,0,283,596,247,133,151,122,391,393
2017/07/09/10:02:30.803462,157832,1499565750,803318023,0,250,618,241,121,150,114,337,361
2017/07/09/10:02:30.818390,157833,1499565750,818263053,0,225,605,239,132,157,118,330,370
2017/07/09/10:02:30.841625,157834,1499565750,841100931,0,206,574,212,128,157,162,456,405
2017/07/09/10:02:30.863907,157835,1499565750,863506078,0,263,567,204,113,140,156,478,360
2017/07/09/10:02:30.878985,157836,1499565750,878511905,0,240,515,195,100,107,158,496,401
2017/07/09/10:02:30.901424,157837,1499565750,901138067,0,327,480,174,156,162,165,520,464
2017/07/09/10:02:30.923637,157838,1499565750,923234939,0,343,480,170,158,163,167,569,505
2017/07/09/10:02:30.938831,157839,1499565750,938587903,0,357,614,302,163,162,136,465,492
2017/07/09/10:02:30.962102,157840,1499565750,961762905,0,332,612,317,166,167,132,439,505
2017/07/09/10:02:30.983833,157841,1499565750,983617067,0,360,558,306,161,165,130,430,501
2017/07/09/10:02:31.000173,157842,1499565750,999958038,0,297,551,316,121,127,142,434,475
2017/07/09/10:02:31.021945,157843,1499565751,21027088,0,302,588,319,113,115,139,416,426
2017/07/09/10:02:31.043495,157844,1499565751,43240070,0,320,467,211,115,109,121,424,396
2017/07/09/10:02:31.059075,157845,1499565751,58578968,0,331,440,197,128,113,120,419,414
2017/07/09/10:02:31.090515,157846,1499565751,89344024,0,328,473,206,134,122,142,466,439
2017/07/09/10:02:31.111830,157847,1499565751,111479997,0,315,467,177,132,116,130,451,427
2017/07/09/10:02:31.118249,157848,1499565751,118100881,0,324,434,179,130,122,129,424,436
2017/07/09/10:02:31.141284,157849,1499565751,140933990,0,312,433,168,130,128,130,440,479
2017/07/09/10:02:31.163667,157850,1499565751,163444995,0,270,425,148,123,125,133,437,447
2017/07/09/10:02:31.178672,157851,1499565751,178392887,0,254,506,174,117,112,111,396,417
2017/07/09/10:02:31.201075,157852,1499565751,200927019,0,253,498,185,113,109,140,426,450
2017/07/09/10:02:31.223924,157853,1499565751,223685026,0,249,515,186,116,113,140,445,470
2017/07/09/10:02:31.238835,157854,1499565751,238468885,0,245,547,218,111,109,170,445,444
2017/07/09/10:02:31.261369,157855,1499565751,261065006,0,257,529,219,112,130,174,464,481
2017/07/09/10:02:31.283609,157856,1499565751,283404111,0,257,436,192,117,136,176,452,462
2017/07/09/10:02:31.298798,157857,1499565751,298439025,0,282,450,197,114,129,153,466,432
2017/07/09/10:02:31.320896,157858,1499565751,320637941,0,266,431,207,113,128,155,423,398
2017/07/09/10:02:31.352022,157859,1499565751,351530075,0,259,357,170,106,123,133,442,426
2017/07/09/10:02:31.358881,157860,1499565751,358500003,0,253,353,172,94,91,126,440,392
2017/07/09/10:02:31.388817,157861,1499565751,388504981,0,255,329,174,104,90,124,448,385
2017/07/09/10:02:31.403359,157862,1499565751,403186082,0,241,354,177,105,99,123,401,349
2017/07/09/10:02:31.426289,157863,1499565751,426095008,0,233,450,172,102,91,116,384,355
2017/07/09/10:02:31.441053,157864,1499565751,440820932,0,214,455,177,100,86,102,338,357
2017/07/09/10:02:31.463775,157865,1499565751,463552951,0,245,462,181,108,96,112,334,381
