time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/10:08:58.712011,177178,1499566138,711750984,0,83,270,179,68,42,44,164,166
2017/07/09/10:08:58.726912,177179,1499566138,726795911,0,91,274,183,76,45,62,166,179
2017/07/09/10:08:58.749447,177180,1499566138,749208927,0,95,326,181,72,45,62,142,173
2017/07/09/10:08:58.764414,177181,1499566138,764276981,0,89,336,156,63,42,64,138,159
2017/07/09/10:08:58.788646,177182,1499566138,788386106,0,99,324,144,61,39,65,111,134
2017/07/09/10:08:58.809473,177183,1499566138,809226989,0,107,479,200,66,51,79,110,128
2017/07/09/10:08:58.825012,177184,1499566138,824744939,0,127,533,228,72,55,69,107,109
2017/07/09/10:08:58.847423,177185,1499566138,846970081,0,140,521,237,72,52,66,109,106
2017/07/09/10:08:58.869651,177186,1499566138,869398117,0,171,549,246,80,56,61,105,104
2017/07/09/10:08:58.892161,177187,1499566138,891941070,0,187,597,261,80,59,69,154,92
2017/07/09/10:08:58.906956,177188,1499566138,906780004,0,234,519,256,85,57,61,144,100
2017/07/09/10:08:58.929939,177189,1499566138,929702997,0,229,584,288,99,67,90,181,106
2017/07/09/10:08:58.946312,177190,1499566138,946121931,0,324,617,314,106,71,102,215,107
2017/07/09/10:08:58.966777,177191,1499566138,966597080,0,381,576,302,107,71,109,257,114
2017/07/09/10:08:58.991027,177192,1499566138,990839958,0,393,595,323,118,72,108,262,114
2017/07/09/10:08:59.004373,177193,1499566139,4110097,0,416,612,306,113,72,133,357,125
2017/07/09/10:08:59.027094,177194,1499566139,26859045,0,468,617,295,104,70,131,351,138
2017/07/09/10:08:59.057607,177195,1499566139,57425022,0,429,637,264,97,67,129,358,149
2017/07/09/10:08:59.065448,177196,1499566139,65237045,0,461,697,271,105,71,135,369,194
2017/07/09/10:08:59.086938,177197,1499566139,86767911,0,500,672,243,94,67,146,391,204
2017/07/09/10:08:59.109442,177198,1499566139,109186887,0,494,696,252,94,68,148,331,192
2017/07/09/10:08:59.124991,177199,1499566139,124664068,0,481,645,232,99,80,176,357,204
2017/07/09/10:08:59.147142,177200,1499566139,146902084,0,465,620,242,104,98,189,451,202
2017/07/09/10:08:59.169625,177201,1499566139,169398069,0,411,574,241,95,100,195,477,157
2017/07/09/10:08:59.184312,177202,1499566139,184092044,0,408,593,246,95,101,199,527,212
2017/07/09/10:08:59.206925,177203,1499566139,206726074,0,401,596,311,106,102,185,529,237
2017/07/09/10:08:59.229403,177204,1499566139,229216098,0,386,568,303,101,87,150,579,237
2017/07/09/10:08:59.244664,177205,1499566139,244270086,0,433,564,292,97,71,133,502,239
2017/07/09/10:08:59.275865,177206,1499566139,275057077,0,448,617,341,108,73,130,485,250
2017/07/09/10:08:59.289402,177207,1499566139,289138078,0,405,658,350,112,88,177,496,253
2017/07/09/10:08:59.304616,177208,1499566139,304255962,0,398,620,331,107,103,222,570,278
2017/07/09/10:08:59.334557,177209,1499566139,334343910,0,478,635,314,97,101,225,515,280
2017/07/09/10:08:59.349749,177210,1499566139,349360942,0,468,624,332,109,104,236,522,304
2017/07/09/10:08:59.364455,177211,1499566139,364216089,0,436,640,294,105,101,232,564,313
2017/07/09/10:08:59.387007,177212,1499566139,386640071,0,440,616,279,101,93,197,540,299
2017/07/09/10:08:59.409699,177213,1499566139,409415006,0,457,623,218,100,78,160,480,271
2017/07/09/10:08:59.424773,177214,1499566139,424335002,0,364,606,234,101,81,158,469,261
2017/07/09/10:08:59.448149,177215,1499566139,447983980,0,401,641,252,94,77,145,461,287
2017/07/09/10:08:59.469795,177216,1499566139,469475984,0,425,603,265,93,75,137,389,310
2017/07/09/10:08:59.484327,177217,1499566139,484141111,0,430,547,266,94,66,120,321,334
2017/07/09/10:08:59.507403,177218,1499566139,507055044,0,402,522,274,93,64,100,323,322
2017/07/09/10:08:59.529839,177219,1499566139,529623031,0,401,528,263,97,65,95,341,341
2017/07/09/10:08:59.551792,177220,1499566139,551605939,0,371,491,254,100,65,96,404,307
2017/07/09/10:08:59.567227,177221,1499566139,567004919,0,344,459,238,99,75,122,477,283
