time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/09/10:07:23.931027,419307,1499566046,736000000,,['l_gripper_l_finger_joint'],"(0.019895320258140566,)","(0.0,)","(0.0,)"
2017/07/09/10:07:23.932060,419308,1499566046,736999936,,['r_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/09/10:07:23.934385,443219,1499566046,737048865,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.36777189389552795, 1.2570972556720965, -0.8486748708976052, -0.971009838731467, -0.21207284392515846, 1.190369091399081, 1.6605342028859604, 0.048703890015361885, 1.8545827725534652, -0.9480001269131857, -1.417014752809151, 0.0732475826215285, 1.2160632695961617, -0.16835439147042416, -12.565987119160338)","(0.0, -0.01060287520387664, -0.08207410805963769, -0.05851216316213405, -0.08757189520238855, 0.003141592653000486, -0.0027488935713754254, 0.0035342917346255468, 0.01531526418337737, 0.0200276531628781, 0.006283185306000972, -0.0023561944897503642, -0.019242254999627974, -0.009424777959001457, -0.005497787142750851, 0.01531526418337737, 0.0)","(0.0, 0.0, 5.72, -13.796, 3.612, -22.396, 0.512, -0.068, 0.064, 1.292, -14.412, 1.62, -21.588, 0.448, 0.46, 0.064, -20.48)"
2017/07/09/10:07:23.944453,443220,1499566046,747087899,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05368932757598948, 0.36662140830461387, 1.2563302652781538, -0.8494418612915479, -0.9702428483375242, -0.21360682471304387, 1.190369091399081, 1.661301193279903, 0.04793689962141918, 1.8538157821595225, -0.9480001269131857, -1.4166312576121796, 0.0724805922275858, 1.2156797743991905, -0.1672039058795101, -12.565987119160338)","(0.0, -0.0007853981632501215, -0.09346238142676445, -0.045945792550132106, -0.06832964020276057, 0.005497787142750851, 0.0011780972448751821, 0.0047123889795007284, 0.014137166938502187, 0.0027488935713754254, -0.008246680714126275, -0.0027488935713754254, -0.012959069693627005, -0.0023561944897503642, 0.010995574285501701, -0.01610066234662749, 0.0)","(0.0, 0.0, 5.976, -13.672, 3.396, -22.396, 0.536, -0.068, 0.056, 1.26, -14.412, 1.464, -21.56, 0.42, 0.452, 0.036, -20.48)"
2017/07/09/10:07:23.954250,443221,1499566046,757096907,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.3658544179106712, 1.2559467700811826, -0.8509758420794333, -0.9702428483375242, -0.21360682471304387, 1.1896021010051383, 1.661301193279903, 0.04832039481839053, 1.854199277356494, -0.948383622110157, -1.417014752809151, 0.07286408742455715, 1.215296279202219, -0.16758740107648146, -12.565987119160338)","(0.0, 0.015707963265002428, -0.10917034469176688, -0.05379977418263332, -0.11074114101826713, -0.005890486224375911, -0.036913713672755706, 0.0007853981632501215, -0.0023561944897503642, 0.0007853981632501215, -0.01610066234662749, -0.011388273367126762, -0.01767145867312773, 0.01531526418337737, -0.0023561944897503642, -0.02081305132612822, 0.0)","(0.0, 0.0, 5.752, -13.704, 2.992, -22.396, 0.616, -0.028, 0.044, 1.356, -14.412, 1.524, -21.56, 0.44, 0.472, 0.044, -20.48)"
2017/07/09/10:07:23.964398,443222,1499566046,767100348,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.36508742751672846, 1.2563302652781538, -0.851742832473376, -0.971009838731467, -0.21437381510698658, 1.1896021010051383, 1.6609176980829317, 0.048703890015361885, 1.8538157821595225, -0.9476166317162144, -1.4166312576121796, 0.0732475826215285, 1.2156797743991905, -0.16835439147042416, -12.565987119160338)","(0.0, -0.009424777959001457, -0.12566370612001942, -0.04437499622363186, -0.12212941438539389, -0.014529866020127248, -0.06832964020276057, -0.02513274122400389, -0.001570796326500243, 0.0035342917346255468, -0.008246680714126275, 0.009817477040626518, -0.0011780972448751821, 0.003926990816250607, -0.00510508806112579, -0.003141592653000486, 0.0)","(0.0, 0.0, 4.82, -14.14, 1.652, -23.14, 0.52, -0.048, 0.036, 1.324, -14.324, 1.652, -21.56, 0.448, 0.432, 0.044, -20.48)"
2017/07/09/10:07:23.974254,443223,1499566046,777100466,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.3631699515318717, 1.2547962844902685, -0.8536603084582327, -0.9713933339284383, -0.21437381510698658, 1.1896021010051383, 1.6609176980829317, 0.04793689962141918, 1.8545827725534652, -0.9480001269131857, -1.4162477624152083, 0.07286408742455715, 1.2168302599901044, -0.1679708962734528, -12.565987119160338)","(0.0, -0.011388273367126762, -0.10642145112039146, -0.043196898978756684, -0.1370519794871462, -0.027881634795379313, -0.07107853377413599, -0.018064157754752792, 0.003141592653000486, -0.008246680714126275, -0.0007853981632501215, 0.01531526418337737, 0.022383847652628464, -0.011388273367126762, 0.01649336142825255, 0.01531526418337737, 0.0)","(0.0, 0.0, 4.016, -14.424, 0.748, -23.592, 0.46, -0.076, 0.036, 1.26, -14.144, 1.496, -21.74, 0.42, 0.432, 0.044, -20.48)"
2017/07/09/10:07:23.981259,419309,1499566046,785999872,,['l_gripper_l_finger_joint'],"(0.019895320258140566,)","(0.0,)","(0.0,)"
2017/07/09/10:07:23.982129,419310,1499566046,787000064,,['r_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/09/10:07:23.984404,443224,1499566046,787062140,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05483981316690354, 0.36201946594095763, 1.2547962844902685, -0.8548107940491468, -0.9717768291254096, -0.2151408055009293, 1.190369091399081, 1.661301193279903, 0.04832039481839053, 1.8545827725534652, -0.9476166317162144, -1.4162477624152083, 0.0724805922275858, 1.2156797743991905, -0.1687378866673955, -12.565987119160338)","(0.0, 0.011388273367126762, -0.1189878217323934, -0.05772676499888393, -0.13469578499739585, -0.03809181091763089, -0.039662607244131134, 0.019242254999627974, 0.0011780972448751821, -0.0007853981632501215, -0.006283185306000972, 0.0047123889795007284, 0.019634954081253035, -0.009424777959001457, -0.006675884387626033, -0.007853981632501214, 0.0)","(0.0, 0.0, 3.952, -14.236, 0.62, -23.524, 0.32, -0.108, 0.056, 1.388, -14.084, 1.4, -21.856, 0.44, 0.472, 0.056, -20.48)"
