time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/10:10:16.075397,11520,1499566216,75253963,0,"(-12285, -9114, 4607, 3639)","(319, 1834, 362)"
2017/07/09/10:10:16.082085,11521,1499566216,81933021,0,"(-12329, -9049, 4602, 3658)","(323, 1915, 497)"
2017/07/09/10:10:16.105052,11522,1499566216,104739904,0,"(-12380, -8976, 4603, 3666)","(281, 1899, 600)"
2017/07/09/10:10:16.128462,11523,1499566216,128329038,0,"(-12394, -8936, 4642, 3664)","(461, 1897, 331)"
2017/07/09/10:10:16.142475,11524,1499566216,142095088,0,"(-12400, -8916, 4654, 3676)","(468, 1986, 376)"
2017/07/09/10:10:16.165117,11525,1499566216,164851903,0,"(-12439, -8857, 4653, 3693)","(422, 1845, 529)"
2017/07/09/10:10:16.187217,11526,1499566216,186991930,0,"(-12481, -8797, 4644, 3703)","(470, 1765, 587)"
2017/07/09/10:10:16.202401,11527,1499566216,202039957,0,"(-12513, -8755, 4625, 3720)","(431, 1735, 548)"
2017/07/09/10:10:16.224664,11528,1499566216,224488973,0,"(-12518, -8756, 4589, 3744)","(329, 1819, 538)"
2017/07/09/10:10:16.247627,11529,1499566216,247356891,0,"(-12515, -8764, 4536, 3799)","(351, 1993, 598)"
2017/07/09/10:10:16.270639,11530,1499566216,270363092,0,"(-12475, -8827, 4443, 3896)","(182, 1890, 638)"
2017/07/09/10:10:16.293916,11531,1499566216,292984962,0,"(-12421, -8905, 4396, 3941)","(291, 2109, 668)"
2017/07/09/10:10:16.307242,11532,1499566216,306967973,0,"(-12386, -8965, 4326, 3996)","(277, 2431, 535)"
2017/07/09/10:10:16.330156,11533,1499566216,330046892,0,"(-12387, -8977, 4233, 4061)","(202, 2018, 578)"
2017/07/09/10:10:16.344936,11534,1499566216,344640970,0,"(-12374, -9015, 4126, 4126)","(159, 1948, 627)"
2017/07/09/10:10:16.367790,11535,1499566216,367424011,0,"(-12338, -9085, 4015, 4190)","(90, 1996, 619)"
