time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2017/07/09/10:19:05.372298,513004,1499566748,178935235,,0.783091734173,0.396573236935,0.167723502768,0.624120880763,0.778633601768,0.0562470813191,0.0322351707886,-0.00159011252085,-0.0318237980235,-0.00924690372167,-0.00541369254886,0.0267057399108,-0.0507159345695,3.70502853394,2.37182235718,-1.10236179829,-1.09988689423,1.41596639156,-0.343331247568
2017/07/09/10:19:05.382190,513005,1499566748,188937331,,0.783428193171,0.396276248722,0.168261446121,0.624400812653,0.778377412898,0.0566807874287,0.0322415350848,0.00259044134755,-0.0138592624942,-0.00947356518538,0.0122161311017,0.0153201438839,-0.0225025290588,3.45413923264,2.12607240677,-1.18681788445,-0.951212644577,1.31763803959,-0.331036776304
2017/07/09/10:19:05.392362,513006,1499566748,198927276,,0.783382359258,0.395920360681,0.167842568143,0.624756340087,0.778110955286,0.0563988846671,0.0322803747391,0.00488993350944,-0.0183711974797,0.00253470428584,-0.00365571103174,-0.00130124992479,-0.00961484181925,4.1591334343,2.2683737278,-1.3086078167,-1.06677353382,1.56824052334,-0.351295500994
2017/07/09/10:19:05.402368,513007,1499566748,208930974,,0.783808780376,0.395577688585,0.168550395986,0.625002391872,0.777880162515,0.0567202113807,0.0325158506185,0.0170218440373,-0.0382096211232,0.00558589786185,-0.00628112325362,-0.0266551022415,-0.0568286536765,3.88012218475,2.42386436462,-1.36445212364,-1.1561871767,1.49213039875,-0.377048552036
2017/07/09/10:19:05.412453,513008,1499566748,218927266,,0.783730385764,0.394950450467,0.167886777826,0.625220162871,0.777738532843,0.0563089520301,0.0324318422559,0.0149943954055,-0.0355287477843,0.00297778415833,-0.00263844019678,-0.0152771410076,-0.0518939713631,4.11111211777,2.3458673954,-1.48536896706,-1.06149768829,1.56939208508,-0.336474597454
2017/07/09/10:19:05.422231,513009,1499566748,228928452,,0.783931984303,0.394578849636,0.167908975548,0.62540783716,0.777570578735,0.0565510618017,0.0324192799679,0.00873676245015,-0.045230864094,-0.00703187032891,-0.00163217567099,0.00789416005142,-0.0624055650301,4.15624904633,2.25500392914,-1.44858300686,-0.990010559559,1.61743450165,-0.296565920115
2017/07/09/10:19:05.432358,513010,1499566748,238935088,,0.78376935089,0.394241304272,0.167683628499,0.625604789215,0.777438768989,0.0563620484452,0.0321080625304,-0.00342568176358,-0.0402386077879,-0.026225889269,0.0113282783431,0.0362734967406,-0.0699290933947,3.90582203865,2.21217823029,-1.40624809265,-1.04112875462,1.52867221832,-0.343061327934
2017/07/09/10:19:05.442349,513011,1499566748,248927486,,0.783689387763,0.393911591391,0.16760461952,0.62554965371,0.777493067133,0.0561854089355,0.0321770279341,-0.00197296957432,-0.0196998599181,-0.0226228601495,0.0147342044525,0.0266276494411,-0.0299848600287,3.63385534286,2.23967838287,-1.33475196362,-1.06106305122,1.41334462166,-0.349975258112
2017/07/09/10:19:05.452420,513012,1499566748,258937901,,0.784066424509,0.393105498656,0.167436074201,0.626090068203,0.777032060225,0.0564173303066,0.0323958133375,0.00965804308188,-0.0456428257819,-0.0136430676351,0.00616554350696,0.0040693346277,-0.0588194238889,3.65517187119,2.44118285179,-1.14271664619,-1.18076515198,1.45530021191,-0.379629909992
2017/07/09/10:19:05.462446,513013,1499566748,268937483,,0.784436508152,0.392898812347,0.167670825088,0.626613638403,0.776584181096,0.0567376983645,0.0324529108539,0.0190429721215,-0.0514958881788,-0.00621412346853,0.00495365593604,-0.0114446989054,-0.0813844016016,4.03188467026,2.3009724617,-0.91416990757,-1.11243402958,1.65776181221,-0.344278335571
2017/07/09/10:19:05.472228,513014,1499566748,278932542,,0.784244667047,0.392911887456,0.167558229359,0.626256369845,0.776888644335,0.0567088201549,0.0321107964332,0.000608384390248,-0.0500405128559,-0.0140603242928,0.00742621110592,0.0292481589926,-0.0725944817397,3.90037894249,2.26328539848,-1.00300610065,-1.12197244167,1.58451628685,-0.379138231277
2017/07/09/10:19:05.483941,513015,1499566748,288924962,,0.784221995586,0.392000452118,0.167290013758,0.626846002601,0.776440911956,0.0561922523166,0.0323423877199,-0.00837884271646,-0.0539948761059,-0.0225275389775,-0.00696601150116,0.0534743377315,-0.0596268103931,4.23646354675,2.96995377541,-0.92430126667,-1.37445473671,1.69115543365,-0.398827373981
2017/07/09/10:19:05.492448,513016,1499566748,298929409,,0.784240236634,0.391175558694,0.166897608022,0.627315330266,0.776094766078,0.0558561462446,0.0321322487131,-0.00525337929479,-0.0524357178747,-0.026775581592,-0.028928906655,0.0471175523207,-0.0663474757109,4.29912424088,4.51775407791,-0.857494711876,-2.16122245789,1.66709065437,-0.565527915955
2017/07/09/10:19:05.502402,513017,1499566748,308939706,,0.784615432833,0.39057363329,0.16678676699,0.627712753691,0.775761107402,0.055859705602,0.0324206166674,0.0135411361322,-0.0750622160392,-0.0206933898226,-0.0317757802399,0.0149220437662,-0.0906064024397,3.92218351364,4.88613557816,-0.820783913136,-2.32007956505,1.51089835167,-0.626957416534
2017/07/09/10:19:05.512156,513018,1499566748,318923804,,0.784275950531,0.39033134777,0.166518066852,0.627662336987,0.775823453569,0.0556863080464,0.032202402329,0.0038263810059,-0.0686974774552,-0.0281323494621,-0.0310363477418,0.0290007996516,-0.0871579662851,4.0390291214,5.16902828217,-0.652264237404,-2.41479086876,1.58812403679,-0.595035016537
2017/07/09/10:19:05.522313,513019,1499566748,328922867,,0.784126021787,0.389122086858,0.165746423353,0.628461921401,0.77525061936,0.0547237347934,0.0320531337293,0.0158214909399,-0.0660627611473,-0.0160746294451,-0.0443354342088,-0.00181040092015,-0.0799057625413,3.72370743752,4.81522798538,-0.498458981514,-2.11734199524,1.53912651539,-0.525896847248
2017/07/09/10:19:05.532233,513020,1499566748,338932252,,0.78467556943,0.389112158214,0.166047573672,0.628234454832,0.77537429714,0.0552040284649,0.0326907378001,0.0244869449081,-0.122243510567,-0.0185592880514,-0.10810932691,-0.00684508260006,-0.124641843427,2.96670746803,4.73323059082,-0.250807821751,-1.97735142708,1.32129311562,-0.496169000864
2017/07/09/10:19:05.542308,513021,1499566748,348958462,,0.784830149157,0.387377472583,0.165781765962,0.628729612106,0.775000935329,0.0544597900341,0.0332679480676,0.0218081625928,-0.0910478110554,-0.0226891671268,-0.0627920212561,-0.00505338929462,-0.111087523755,3.08624410629,4.6947016716,-0.166659742594,-1.84472966194,1.40866529942,-0.453838288784
2017/07/09/10:19:05.552517,513022,1499566748,358937117,,0.784934147841,0.386871096065,0.16540745831,0.628893092743,0.774885289619,0.0542812202083,0.0331634582659,0.021616472036,-0.0793746560866,-0.0182719686152,-0.0706568511802,-0.0184632836684,-0.0559195279788,3.6247484684,5.09380340576,-0.413386166096,-1.9805535078,1.63401925564,-0.498519062996
2017/07/09/10:19:05.562248,513023,1499566748,368937916,,0.785397517389,0.385843385246,0.165396048488,0.629334491627,0.774517470859,0.0542623358017,0.033412331506,0.0101052691165,-0.0980543922364,-0.0315031641593,-0.0835155843834,0.0214895691638,-0.0822510573642,3.79275631905,5.1882724762,-0.395171880722,-1.97269272804,1.75395512581,-0.44951286912
2017/07/09/10:19:05.572182,513024,1499566748,378924176,,0.785694161879,0.384987525021,0.165303701673,0.629934883266,0.774024292631,0.0540518848181,0.0338648934729,0.0229493830774,-0.0906476577847,-0.0164467254667,-0.0524428020908,-0.0106093381691,-0.119985146401,3.26404881477,5.10130691528,-0.59245121479,-1.9387909174,1.54703950882,-0.474262654781
2017/07/09/10:19:05.582386,513025,1499566748,388931309,,0.785970949135,0.383975745132,0.165154014192,0.630314036796,0.773702655206,0.0541023076934,0.0340786831823,0.0182769435649,-0.105268841622,-0.0194974771603,-0.0576561074171,0.00351250096935,-0.126800734197,2.98564124107,4.96571922302,-0.668541133404,-1.8889580965,1.43493211269,-0.441508710384
