time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2017/07/09/10:19:22.402135,514707,1499566765,209038717,,0.781642745132,0.39843140636,0.16640239151,0.623954655655,0.778885956866,0.0556767828209,0.0302877819798,-0.0241745851886,0.00899273732554,-0.0162625156306,-0.0120923043873,0.0449493965072,0.0249600325406,5.78413534164,1.68704342842,-1.12270259857,-0.982164621353,2.11568498611,-0.275562673807
2017/07/09/10:19:22.412321,514708,1499566765,219035179,,0.781792195931,0.398174400612,0.167056557295,0.623828851856,0.778948951859,0.0558837727668,0.0308722841922,-0.00363453056839,0.0099772996939,0.000215477436237,0.00748939139808,0.0030113746627,-0.000944324445569,5.5392742157,1.59631741047,-1.06046390533,-0.840042114258,2.05268192291,-0.246199905872
2017/07/09/10:19:22.422299,514709,1499566765,229042774,,0.78115702317,0.398517079062,0.166185705402,0.623532367199,0.779256494854,0.0552386533765,0.0302554698517,0.000525866798886,0.00613861095536,0.00090826455242,0.00414608093331,-0.00712745546731,0.0139580234339,5.93261098862,1.57709300518,-0.846803426743,-0.881667017937,2.25207042694,-0.2227858603
2017/07/09/10:19:22.432226,514710,1499566765,239044956,,0.781590227125,0.398413702557,0.16664338516,0.623760594814,0.779024168205,0.0558408418548,0.0304280477474,-0.00603871728724,-0.0179208584509,-0.0132489739202,-0.0176474121312,0.015522164833,-0.00898662553016,5.84973430634,1.64897739887,-0.972273528576,-0.886976361275,2.20213460922,-0.249810218811
2017/07/09/10:19:22.442466,514711,1499566765,249047585,,0.781344681924,0.397739378053,0.166259985613,0.623911137446,0.778942560631,0.0552564739689,0.0304975719116,-0.0100956068084,-0.0180050282615,-0.00521945182403,-0.0208791621922,0.0211012635959,-0.00642357909167,6.16300296783,1.50524640083,-0.830685138702,-0.785575926304,2.36349725723,-0.204304531217
2017/07/09/10:19:22.452444,514712,1499566765,259044140,,0.78136217775,0.397882066283,0.165959858621,0.623640338439,0.779169694334,0.0551701876701,0.0303902302786,-0.00642755859342,-0.00511254618487,-0.0197130837242,-0.0129948518346,0.0234741173289,0.00417202115307,6.31708908081,1.80274701118,-0.871756196022,-0.987922132015,2.35767197609,-0.262871414423
2017/07/09/10:19:22.462392,514713,1499566765,269039598,,0.781676300835,0.398025687271,0.166603993223,0.623536181369,0.779208802697,0.0556363387268,0.0306736065152,0.0010037779165,-0.011409341212,-0.00690842555038,-0.00597033379402,0.021378917641,-0.0269664369896,5.71717023849,1.6244353056,-0.843730270863,-0.897634387016,2.14287137985,-0.228454247117
2017/07/09/10:19:22.472426,514714,1499566765,279068045,,0.781874609982,0.397177337946,0.166561380699,0.624080267499,0.778774658802,0.0553045316267,0.0312291419718,0.00347689552956,-0.0251879064362,-0.00695543905558,-0.0129820976217,0.00722788689419,-0.0395368680862,5.07009840012,1.71166872978,-0.726800560951,-0.882192373276,1.94392049313,-0.248771265149
2017/07/09/10:19:22.482386,514715,1499566765,289042038,,0.781549740026,0.397514560096,0.16582876818,0.623748020279,0.779087312137,0.055015656108,0.0305719617753,0.000715656215285,-0.00533552594541,-0.0056926556447,-0.00679732058102,-0.0092124388883,-0.00134593238896,5.09505701065,1.88488006592,-0.844723701477,-1.00058102608,1.98066604137,-0.286416321993
2017/07/09/10:19:22.492321,514716,1499566765,299041963,,0.781809768355,0.396635699482,0.166073203351,0.624252262337,0.7786649057,0.0550649204779,0.0309504787043,0.0123545520282,0.0086101922354,-0.00414053140678,0.00415560504457,-0.0326501892678,0.0101830142163,4.51321935654,1.80610907078,-0.733766078949,-0.936670422554,1.80496144295,-0.257409334183
