time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/10:20:26.817620,15143,1499566826,817513942,0,"(-12138, -9842, 3971, 2911)","(253, 1943, 377)"
2017/07/09/10:20:26.838706,15144,1499566826,838417053,0,"(-12214, -9748, 3976, 2905)","(319, 1858, 267)"
2017/07/09/10:20:26.854074,15145,1499566826,853844881,0,"(-12276, -9676, 3979, 2880)","(331, 1873, 437)"
2017/07/09/10:20:26.876330,15146,1499566826,876121044,0,"(-12328, -9616, 3975, 2866)","(277, 1980, 366)"
2017/07/09/10:20:26.907647,15147,1499566826,907377004,0,"(-12391, -9539, 3975, 2852)","(306, 1934, 402)"
2017/07/09/10:20:26.913842,15148,1499566826,913613080,0,"(-12445, -9473, 3984, 2819)","(396, 1737, 524)"
2017/07/09/10:20:26.935927,15149,1499566826,935825109,0,"(-12454, -9466, 3997, 2786)","(388, 1877, 464)"
2017/07/09/10:20:26.959213,15150,1499566826,958859920,0,"(-12427, -9501, 4015, 2759)","(224, 2053, 395)"
2017/07/09/10:20:26.974040,15151,1499566826,973613977,0,"(-12423, -9511, 4023, 2736)","(451, 2006, 496)"
2017/07/09/10:20:27.000217,15152,1499566827,35047,0,"(-12453, -9483, 4011, 2713)","(439, 1699, 514)"
2017/07/09/10:20:27.018838,15153,1499566827,18606901,0,"(-12463, -9482, 3989, 2703)","(325, 1761, 435)"
2017/07/09/10:20:27.035594,15154,1499566827,33580064,0,"(-12449, -9515, 3953, 2704)","(387, 1971, 480)"
2017/07/09/10:20:27.057292,15155,1499566827,57213068,0,"(-12454, -9526, 3907, 2709)","(484, 2031, 507)"
2017/07/09/10:20:27.078904,15156,1499566827,78777074,0,"(-12485, -9512, 3838, 2715)","(401, 1895, 457)"
2017/07/09/10:20:27.093909,15157,1499566827,93668937,0,"(-12500, -9521, 3757, 2727)","(316, 1927, 421)"
2017/07/09/10:20:27.116280,15158,1499566827,116056919,0,"(-12542, -9512, 3592, 2784)","(67, 2196, 516)"
2017/07/09/10:20:27.139199,15159,1499566827,138758897,0,"(-12574, -9496, 3523, 2788)","(385, 1998, 508)"
2017/07/09/10:20:27.153387,15160,1499566827,153244018,0,"(-12591, -9509, 3406, 2813)","(173, 1908, 516)"
2017/07/09/10:20:27.176616,15161,1499566827,176157951,0,"(-12571, -9564, 3303, 2836)","(208, 1981, 496)"
