time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/10:17:13.774976,13655,1499566633,774919033,0,"(-12657, -10200, 2018, 391)","(258, 1989, 361)"
2017/07/09/10:17:13.788182,13656,1499566633,787985086,0,"(-12677, -10172, 2032, 387)","(369, 1984, 325)"
2017/07/09/10:17:13.803477,13657,1499566633,803273916,0,"(-12728, -10107, 2039, 363)","(459, 1777, 436)"
2017/07/09/10:17:13.825807,13658,1499566633,825642108,0,"(-12767, -10061, 2030, 345)","(412, 1741, 485)"
2017/07/09/10:17:13.848366,13659,1499566633,847954988,0,"(-12776, -10056, 1998, 348)","(330, 1850, 502)"
2017/07/09/10:17:13.863247,13660,1499566633,863004922,0,"(-12768, -10075, 1948, 367)","(338, 1996, 455)"
2017/07/09/10:17:13.887103,13661,1499566633,886878967,0,"(-12771, -10083, 1884, 381)","(305, 2101, 496)"
2017/07/09/10:17:13.908499,13662,1499566633,908193111,0,"(-12791, -10070, 1813, 390)","(348, 2049, 507)"
2017/07/09/10:17:13.930907,13663,1499566633,930737018,0,"(-12819, -10050, 1720, 408)","(243, 2066, 441)"
2017/07/09/10:17:13.954474,13664,1499566633,954107999,0,"(-12843, -10035, 1626, 418)","(244, 2053, 442)"
2017/07/09/10:17:13.968380,13665,1499566633,968128919,0,"(-12879, -10006, 1510, 439)","(290, 2196, 576)"
2017/07/09/10:17:13.984452,13666,1499566633,984352111,0,"(-12953, -9932, 1328, 528)","(-218, 2255, 495)"
2017/07/09/10:17:14.007008,13667,1499566634,6859064,0,"(-12994, -9890, 1230, 542)","(176, 1855, 625)"
2017/07/09/10:17:14.028574,13668,1499566634,28305053,0,"(-12995, -9901, 1086, 613)","(-66, 1961, 549)"
2017/07/09/10:17:14.052312,13669,1499566634,52187919,0,"(-12984, -9925, 957, 679)","(16, 2120, 530)"
2017/07/09/10:17:14.065846,13670,1499566634,65623998,0,"(-12992, -9921, 825, 745)","(2, 2019, 546)"
2017/07/09/10:17:14.096259,13671,1499566634,96096992,0,"(-13009, -9904, 688, 811)","(-114, 1940, 541)"
2017/07/09/10:17:14.103119,13672,1499566634,102962970,0,"(-13010, -9904, 548, 895)","(-185, 1910, 578)"
2017/07/09/10:17:14.125785,13673,1499566634,125669956,0,"(-13003, -9910, 411, 994)","(-167, 1906, 604)"
2017/07/09/10:17:14.156561,13674,1499566634,156280994,0,"(-12991, -9922, 280, 1082)","(-141, 1930, 552)"
2017/07/09/10:17:14.163493,13675,1499566634,163299083,0,"(-12983, -9926, 155, 1159)","(-199, 1937, 555)"
2017/07/09/10:17:14.185419,13676,1499566634,185301065,0,"(-12980, -9922, 31, 1237)","(-211, 1889, 569)"
2017/07/09/10:17:14.208914,13677,1499566634,208708047,0,"(-12970, -9924, -95, 1322)","(-259, 1910, 528)"
2017/07/09/10:17:14.230687,13678,1499566634,230561017,0,"(-12964, -9919, -218, 1402)","(-282, 1856, 561)"
2017/07/09/10:17:14.245619,13679,1499566634,245544910,0,"(-12955, -9916, -336, 1482)","(-331, 1805, 581)"
2017/07/09/10:17:14.268279,13680,1499566634,268055915,0,"(-12934, -9925, -451, 1568)","(-365, 1869, 563)"
