time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/10:16:56.846594,201028,1499566616,846076011,0,270,284,192,62,29,51,46,152
2017/07/09/10:16:56.852990,201029,1499566616,852720975,0,303,279,195,64,47,52,51,172
2017/07/09/10:16:56.868625,201030,1499566616,868293046,0,393,323,203,71,54,52,52,156
2017/07/09/10:16:56.903561,201031,1499566616,903415918,0,409,435,271,96,61,39,58,186
2017/07/09/10:16:56.914934,201032,1499566616,914756059,0,389,467,333,109,66,43,65,216
2017/07/09/10:16:56.928438,201033,1499566616,928071022,0,455,478,317,111,80,56,67,232
2017/07/09/10:16:56.959548,201034,1499566616,959379911,0,501,548,330,121,83,72,68,248
2017/07/09/10:16:56.973315,201035,1499566616,973191976,0,458,549,329,121,93,75,71,259
2017/07/09/10:16:56.987926,201036,1499566616,987751960,0,498,539,290,119,96,73,70,251
2017/07/09/10:16:57.012303,201037,1499566617,12207031,0,506,501,211,111,97,72,63,231
2017/07/09/10:16:57.033072,201038,1499566617,32790899,0,526,518,229,111,106,71,80,253
2017/07/09/10:16:57.072221,201039,1499566617,71994066,0,555,497,256,109,116,59,79,256
2017/07/09/10:16:57.073781,201040,1499566617,73512077,0,552,483,266,112,111,63,81,239
2017/07/09/10:16:57.093401,201041,1499566617,93034982,0,597,397,257,115,128,72,87,280
2017/07/09/10:16:57.116179,201042,1499566617,115839004,0,598,492,262,117,128,71,87,293
2017/07/09/10:16:57.132435,201043,1499566617,132272005,0,585,529,288,124,120,63,72,264
2017/07/09/10:16:57.153066,201044,1499566617,152790069,0,555,505,261,122,110,64,72,267
2017/07/09/10:16:57.177510,201045,1499566617,177337884,0,562,507,262,123,138,64,71,275
2017/07/09/10:16:57.191926,201046,1499566617,191768884,0,518,540,263,101,120,52,68,246
2017/07/09/10:16:57.213479,201047,1499566617,213320016,0,527,634,285,102,129,56,68,259
2017/07/09/10:16:57.237226,201048,1499566617,236954927,0,510,609,247,96,132,58,66,263
2017/07/09/10:16:57.250565,201049,1499566617,250284910,0,481,600,233,91,133,57,69,257
2017/07/09/10:16:57.273401,201050,1499566617,273158073,0,475,637,249,96,125,63,69,246
2017/07/09/10:16:57.288400,201051,1499566617,288136005,0,479,652,244,101,124,68,72,238
2017/07/09/10:16:57.310980,201052,1499566617,310704946,0,446,487,224,103,119,66,74,212
2017/07/09/10:16:57.344418,201053,1499566617,343934059,0,408,503,226,104,115,66,77,220
2017/07/09/10:16:57.349656,201054,1499566617,349540948,0,394,509,246,107,123,67,75,197
2017/07/09/10:16:57.370539,201055,1499566617,370290994,0,439,457,225,98,97,53,71,213
2017/07/09/10:16:57.402131,201056,1499566617,401997089,0,437,450,234,101,101,52,71,199
2017/07/09/10:16:57.409562,201057,1499566617,409446001,0,471,449,217,94,102,53,72,197
2017/07/09/10:16:57.430743,201058,1499566617,430486917,0,486,408,240,95,106,56,73,179
2017/07/09/10:16:57.454643,201059,1499566617,454366922,0,510,422,225,94,98,55,69,191
2017/07/09/10:16:57.469308,201060,1499566617,469204902,0,501,450,241,116,127,67,78,200
2017/07/09/10:16:57.491199,201061,1499566617,490806102,0,465,396,237,112,139,68,75,224
2017/07/09/10:16:57.514411,201062,1499566617,514139890,0,447,409,263,123,140,67,73,242
2017/07/09/10:16:57.529875,201063,1499566617,529766082,0,450,458,245,122,134,64,70,248
2017/07/09/10:16:57.558251,201064,1499566617,557940959,0,419,479,244,119,132,60,69,241
2017/07/09/10:16:57.580709,201065,1499566617,580466985,0,399,449,231,102,109,50,61,219
2017/07/09/10:16:57.595855,201066,1499566617,595642089,0,410,442,227,107,95,48,60,188
2017/07/09/10:16:57.619970,201067,1499566617,619755029,0,413,476,198,96,95,46,60,160
2017/07/09/10:16:57.633154,201068,1499566617,632925033,0,402,511,204,98,98,47,67,213
2017/07/09/10:16:57.655701,201069,1499566617,655339002,0,445,466,207,98,97,50,69,207
2017/07/09/10:16:57.679273,201070,1499566617,679150104,0,442,514,215,95,98,66,81,210
2017/07/09/10:16:57.695215,201071,1499566617,694628953,0,463,579,239,94,98,66,79,210
2017/07/09/10:16:57.732021,201072,1499566617,731767892,0,495,562,234,98,94,69,83,217
2017/07/09/10:16:57.733354,201073,1499566617,733134031,0,478,491,219,90,97,74,83,164
2017/07/09/10:16:57.753908,201074,1499566617,753380060,0,512,512,217,91,93,73,88,179
2017/07/09/10:16:57.783799,201075,1499566617,783524990,0,513,483,207,93,87,72,85,223
