time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/05/27/11:50:19.647793,127531,1495857019,647561073,0,78,63,49,34,40,57,121,106
2017/05/27/11:50:19.678412,127532,1495857019,678236961,0,109,156,100,108,62,58,121,107
2017/05/27/11:50:19.685112,127533,1495857019,684959888,0,119,178,109,113,66,63,124,108
2017/05/27/11:50:19.707740,127534,1495857019,707535982,0,122,181,108,118,72,67,123,110
2017/05/27/11:50:19.733208,127535,1495857019,733004093,0,126,220,121,129,81,81,116,74
2017/05/27/11:50:19.745393,127536,1495857019,745075941,0,106,254,153,156,84,72,71,52
2017/05/27/11:50:19.767690,127537,1495857019,767510890,0,100,239,158,128,76,72,70,49
2017/05/27/11:50:19.790374,127538,1495857019,790107011,0,101,252,161,127,76,68,60,47
2017/05/27/11:50:19.805377,127539,1495857019,805051088,0,142,271,230,238,105,78,67,48
2017/05/27/11:50:19.827683,127540,1495857019,827518939,0,183,387,284,266,103,64,61,47
2017/05/27/11:50:19.850485,127541,1495857019,850064992,0,184,403,281,261,108,82,68,53
2017/05/27/11:50:19.869241,127542,1495857019,869069099,0,182,406,285,272,116,86,72,57
2017/05/27/11:50:19.887609,127543,1495857019,887440919,0,186,500,336,335,171,104,83,62
2017/05/27/11:50:19.910321,127544,1495857019,910068035,0,233,534,341,292,163,106,83,66
2017/05/27/11:50:19.925293,127545,1495857019,925029993,0,376,547,328,277,179,120,89,85
2017/05/27/11:50:19.947798,127546,1495857019,947570085,0,387,529,333,284,183,113,84,84
2017/05/27/11:50:19.971518,127547,1495857019,971303939,0,385,525,324,281,183,114,82,83
2017/05/27/11:50:19.985423,127548,1495857019,985223054,0,393,452,289,222,138,99,72,83
2017/05/27/11:50:20.007907,127549,1495857020,7608890,0,488,452,248,204,136,89,63,92
2017/05/27/11:50:20.030185,127550,1495857020,29998064,0,393,396,218,195,117,87,68,88
2017/05/27/11:50:20.045241,127551,1495857020,45033931,0,412,474,202,171,110,84,64,89
2017/05/27/11:50:20.075161,127552,1495857020,74986934,0,412,467,207,165,106,80,62,87
2017/05/27/11:50:20.090206,127553,1495857020,90024948,0,409,578,246,190,117,85,65,87
2017/05/27/11:50:20.105253,127554,1495857020,105046987,0,288,561,240,179,115,88,69,70
2017/05/27/11:50:20.127806,127555,1495857020,127557039,0,272,514,260,186,118,80,56,54
2017/05/27/11:50:20.150421,127556,1495857020,150060892,0,239,457,325,227,121,79,56,51
