time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/05/27/11:52:23.475402,666494,1495857145,46964128,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05330583237901813, 0.004985437560627594, 0.744364177321397, 0.005752427954570301, -0.5549175500175484, 0.002684466378799474, 1.2643836644145523, -0.0007669903939427069, 0.1606844875309971, 1.2640001692175808, 0.9019807032766233, -0.979830228261808, -0.0625097171063306, 1.2954467753692318, 0.06212622190935926, -12.565987119160338)","(0.0, -0.006283185306000972, 0.001570796326500243, -0.0027488935713754254, 0.004319689897875668, -0.005890486224375911, 0.01610066234662749, -0.008246680714126275, -0.011388273367126762, 0.006283185306000972, 0.003926990816250607, 0.018456856836377853, 0.006283185306000972, -0.012959069693627005, -0.012566370612001944, 0.005497787142750851, 0.0)","(0.0, 0.0, -0.16, -14.892, 0.124, -23.236, 0.12, -0.116, 0.008, 3.248, -15.792, 1.212, -28.896, 0.216, 0.068, -0.072, -20.48)"
2017/05/27/11:52:23.485714,666495,1495857145,57008144,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05292233718204677, 0.005368932757598948, 0.744364177321397, 0.005368932757598948, -0.5553010452145197, 0.002684466378799474, 1.2643836644145523, -0.0011504855909140602, 0.16183497312191114, 1.2640001692175808, 0.9023641984735946, -0.979830228261808, -0.06327670750027331, 1.2958302705662033, 0.0617427267123879, -12.565987119160338)","(0.0, -0.00510508806112579, -0.012959069693627005, 0.003926990816250607, -0.004319689897875668, 0.005497787142750851, -0.013744467856877126, 0.003926990816250607, 0.007461282550876154, 0.008639379795751335, 0.01060287520387664, 0.023561944897503646, 0.003926990816250607, 0.008246680714126275, 0.007853981632501214, -0.0019634954081253035, 0.0)","(0.0, 0.0, -0.128, -14.892, 0.184, -23.3, 0.136, -0.144, 0.0, 3.248, -15.852, 1.184, -28.984, 0.216, 0.068, -0.092, -20.48)"
2017/05/27/11:52:23.495553,666496,1495857145,66946580,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.052155346788104066, 0.004601942363656241, 0.7451311677153397, 0.005368932757598948, -0.554534054820577, 0.002684466378799474, 1.2643836644145523, -0.0003834951969713534, 0.16183497312191114, 1.2640001692175808, 0.9019807032766233, -0.978679742670894, -0.0625097171063306, 1.2958302705662033, 0.0617427267123879, -12.565987119160338)","(0.0, 0.006675884387626033, -0.006283185306000972, 0.014529866020127248, -0.005890486224375911, 0.0047123889795007284, -0.006675884387626033, 0.010995574285501701, -0.010995574285501701, 0.007853981632501214, 0.01531526418337737, 0.007853981632501214, 0.0023561944897503642, 0.021598449489378342, 0.008246680714126275, -0.00510508806112579, 0.0)","(0.0, 0.0, -0.224, -14.828, 0.124, -23.3, 0.136, -0.108, 0.008, 3.28, -15.852, 1.152, -28.924, 0.216, 0.088, -0.072, -20.48)"
2017/05/27/11:52:23.497360,421490,1495857145,71000064,,['l_gripper_l_finger_joint'],"(0.019935240289568903,)","(0.0,)","(0.0,)"
2017/05/27/11:52:23.497584,421491,1495857145,71000064,,['r_gripper_l_finger_joint'],"(0.02004972373366356,)","(0.0,)","(0.0,)"
2017/05/27/11:52:23.505543,666497,1495857145,76972345,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05292233718204677, 0.005368932757598948, 0.7447476725183684, 0.005752427954570301, -0.5549175500175484, 0.0023009711818281204, 1.2643836644145523, -0.0007669903939427069, 0.1614514779249398, 1.2643836644145523, 0.9019807032766233, -0.979830228261808, -0.06212622190935926, 1.2954467753692318, 0.060975736318445196, -12.565987119160338)","(0.0, 0.01060287520387664, -0.006283185306000972, 0.001570796326500243, 0.011780972448751823, -0.009817477040626518, 0.009424777959001457, 0.0035342917346255468, 0.006283185306000972, -0.014137166938502187, 0.006283185306000972, -0.010995574285501701, -0.0027488935713754254, 0.003141592653000486, 0.0035342917346255468, 0.01610066234662749, 0.0)","(0.0, 0.0, -0.256, -14.924, 0.124, -23.3, 0.104, -0.136, 0.044, 3.376, -15.852, 1.056, -28.984, 0.224, 0.056, -0.064, -20.48)"
2017/05/27/11:52:23.515683,666498,1495857145,86973161,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05292233718204677, 0.004601942363656241, 0.7447476725183684, 0.004985437560627594, -0.5549175500175484, 0.002684466378799474, 1.2643836644145523, -0.0007669903939427069, 0.16183497312191114, 1.2640001692175808, 0.9023641984735946, -0.9794467330648366, -0.0617427267123879, 1.2954467753692318, 0.0617427267123879, -12.565987119160338)","(0.0, -0.007853981632501214, 0.009032078877376396, 0.001570796326500243, -0.006283185306000972, -0.008639379795751335, -0.0047123889795007284, -0.001570796326500243, 0.0, -0.0035342917346255468, -0.0035342917346255468, -0.01060287520387664, -0.0047123889795007284, -0.0047123889795007284, 0.008246680714126275, -0.0011780972448751821, 0.0)","(0.0, 0.0, -0.256, -14.828, 0.124, -23.268, 0.136, -0.144, 0.0, 3.28, -15.824, 1.212, -28.956, 0.196, 0.056, -0.072, -20.48)"
2017/05/27/11:52:23.525656,666499,1495857145,96939386,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004985437560627594, 0.7447476725183684, 0.004601942363656241, -0.5549175500175484, 0.0019174759848567672, 1.2647671596115235, -0.0007669903939427069, 0.1622184683188825, 1.2643836644145523, 0.9023641984735946, -0.9794467330648366, -0.0617427267123879, 1.2954467753692318, 0.06212622190935926, -12.565987119160338)","(0.0, -0.005890486224375911, -0.0027488935713754254, -0.005497787142750851, 0.004319689897875668, 0.007461282550876154, 0.0023561944897503642, 0.0, -0.018064157754752792, 0.02120575040775328, 0.00039269908162506076, 0.005890486224375911, 0.0019634954081253035, -0.005890486224375911, 0.00039269908162506076, 0.00039269908162506076, 0.0)","(0.0, 0.0, -0.288, -14.892, 0.092, -23.236, 0.136, -0.116, 0.016, 3.22, -15.852, 1.244, -28.924, 0.224, 0.056, -0.064, -20.48)"
2017/05/27/11:52:23.535512,666500,1495857145,106913360,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004601942363656241, 0.7447476725183684, 0.005368932757598948, -0.5549175500175484, 0.0023009711818281204, 1.2643836644145523, -0.0003834951969713534, 0.16183497312191114, 1.2640001692175808, 0.9019807032766233, -0.9802137234587793, -0.0625097171063306, 1.2954467753692318, 0.0617427267123879, -12.565987119160338)","(0.0, 0.0023561944897503642, -0.006675884387626033, -0.0027488935713754254, 0.0035342917346255468, -0.009032078877376396, -0.018064157754752792, 0.008246680714126275, -0.0011780972448751821, -0.011388273367126762, -0.0027488935713754254, 0.003926990816250607, -0.0027488935713754254, 0.0027488935713754254, -0.018064157754752792, 0.01021017612225158, 0.0)","(0.0, 0.0, -0.224, -14.924, 0.152, -23.3, 0.136, -0.136, 0.008, 3.344, -15.824, 1.152, -28.984, 0.224, 0.056, -0.084, -20.48)"
2017/05/27/11:52:23.545504,666501,1495857145,116930422,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004601942363656241, 0.7447476725183684, 0.004601942363656241, -0.5553010452145197, 0.0023009711818281204, 1.2647671596115235, -0.0003834951969713534, 0.1614514779249398, 1.2647671596115235, 0.9019807032766233, -0.9802137234587793, -0.06212622190935926, 1.2962137657631747, 0.06135923151541655, -12.565987119160338)","(0.0, 0.005890486224375911, -0.009424777959001457, 0.013744467856877126, 0.00039269908162506076, 0.00039269908162506076, 0.004319689897875668, -0.003926990816250607, 0.0047123889795007284, -0.027488935713754253, -0.0019634954081253035, 0.009032078877376396, -0.0027488935713754254, -0.014922565101752308, 0.0047123889795007284, -0.004319689897875668, 0.0)","(0.0, 0.0, -0.096, -14.86, 0.092, -23.3, 0.112, -0.124, 0.016, 3.248, -15.792, 1.152, -28.984, 0.204, 0.068, -0.084, -20.48)"
