time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/05/27/11:48:15.209361,121325,1495856895,209184885,0,34,74,75,65,49,42,66,57
2017/05/27/11:48:15.216201,121326,1495856895,215928077,0,34,75,76,70,46,55,89,62
2017/05/27/11:48:15.238740,121327,1495856895,238545894,0,42,126,97,94,54,57,90,62
2017/05/27/11:48:15.261092,121328,1495856895,260926961,0,93,319,175,164,100,74,96,65
2017/05/27/11:48:15.276182,121329,1495856895,275963068,0,96,334,179,171,111,77,98,67
2017/05/27/11:48:15.300015,121330,1495856895,299833059,0,105,360,183,176,118,82,89,50
2017/05/27/11:48:15.321113,121331,1495856895,320888996,0,109,380,232,210,138,80,70,44
2017/05/27/11:48:15.337518,121332,1495856895,337327957,0,133,427,279,229,144,92,68,45
2017/05/27/11:48:15.365436,121333,1495856895,365204095,0,157,346,289,230,134,81,55,45
2017/05/27/11:48:15.381031,121334,1495856895,380857944,0,172,455,300,234,132,80,53,48
2017/05/27/11:48:15.396064,121335,1495856895,395879983,0,172,524,325,253,129,81,56,47
2017/05/27/11:48:15.420184,121336,1495856895,419908046,0,194,531,319,232,115,85,51,47
2017/05/27/11:48:15.441666,121337,1495856895,441162109,0,189,536,320,223,146,89,52,51
2017/05/27/11:48:15.463602,121338,1495856895,463378906,0,163,623,288,199,154,98,58,49
2017/05/27/11:48:15.478668,121339,1495856895,478439092,0,212,608,294,193,156,102,65,60
2017/05/27/11:48:15.502949,121340,1495856895,502732038,0,239,573,300,198,178,101,61,64
2017/05/27/11:48:15.523710,121341,1495856895,523430109,0,238,594,325,215,182,94,59,67
2017/05/27/11:48:15.538726,121342,1495856895,538573980,0,240,593,295,213,157,81,55,62
2017/05/27/11:48:15.561059,121343,1495856895,560889005,0,252,516,305,224,172,90,57,67
2017/05/27/11:48:15.583857,121344,1495856895,583528041,0,230,478,306,224,164,89,51,57
2017/05/27/11:48:15.598740,121345,1495856895,598530054,0,217,488,300,210,151,96,55,53
2017/05/27/11:48:15.621093,121346,1495856895,620919942,0,228,460,272,221,198,105,64,60
2017/05/27/11:48:15.651977,121347,1495856895,651660919,0,246,413,275,209,200,108,67,64
2017/05/27/11:48:15.658686,121348,1495856895,658384084,0,259,479,326,218,183,96,64,63
2017/05/27/11:48:15.681125,121349,1495856895,680919885,0,268,476,320,220,191,99,65,65
2017/05/27/11:48:15.703700,121350,1495856895,703443050,0,368,424,305,206,184,90,61,69
2017/05/27/11:48:15.718609,121351,1495856895,718429088,0,450,494,478,360,209,107,66,79
2017/05/27/11:48:15.742573,121352,1495856895,742367982,0,450,499,524,398,227,111,68,84
2017/05/27/11:48:15.763637,121353,1495856895,763422966,0,478,426,494,386,221,108,66,84
2017/05/27/11:48:15.778677,121354,1495856895,778464078,0,481,408,492,389,220,109,66,83
2017/05/27/11:48:15.801278,121355,1495856895,801007032,0,414,439,496,397,228,115,73,82
2017/05/27/11:48:15.823669,121356,1495856895,823411941,0,356,364,354,272,174,91,63,67
2017/05/27/11:48:15.838665,121357,1495856895,838480949,0,457,375,278,219,148,84,58,74
2017/05/27/11:48:15.861093,121358,1495856895,860919952,0,457,370,282,219,170,111,62,72
2017/05/27/11:48:15.883636,121359,1495856895,883424043,0,539,368,269,208,170,115,63,81
2017/05/27/11:48:15.898583,121360,1495856895,898371934,0,563,354,294,243,165,112,54,79
2017/05/27/11:48:15.921087,121361,1495856895,920874118,0,548,424,341,281,162,117,50,80
2017/05/27/11:48:15.943578,121362,1495856895,943362951,0,496,414,375,290,165,117,50,71
2017/05/27/11:48:15.958648,121363,1495856895,958414077,0,476,447,416,310,152,103,45,70
2017/05/27/11:48:15.981062,121364,1495856895,980873107,0,391,483,451,318,149,108,40,60
2017/05/27/11:48:16.003711,121365,1495856896,3406047,0,442,503,453,287,148,112,43,64
2017/05/27/11:48:16.018551,121366,1495856896,18373966,0,462,540,438,252,142,109,46,66
2017/05/27/11:48:16.041250,121367,1495856896,40951967,0,437,542,439,255,153,117,51,61
