time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/09:31:03.603858,1861,1499563863,603589057,0,"(-6401, -6476, 7539, 11344)","(-425, 1935, 487)"
2017/07/09/09:31:03.626160,1862,1499563863,626023054,0,"(-6365, -6501, 7492, 11381)","(-404, 1846, 619)"
2017/07/09/09:31:03.649789,1863,1499563863,649539947,0,"(-6323, -6526, 7452, 11416)","(-468, 1786, 610)"
2017/07/09/09:31:03.664245,1864,1499563863,663954973,0,"(-6260, -6566, 7426, 11445)","(-519, 1851, 513)"
2017/07/09/09:31:03.686235,1865,1499563863,686121940,0,"(-6186, -6600, 7407, 11478)","(-489, 1863, 526)"
2017/07/09/09:31:03.709784,1866,1499563863,709595918,0,"(-6124, -6621, 7387, 11512)","(-420, 1822, 594)"
2017/07/09/09:31:03.724165,1867,1499563863,723910093,0,"(-6073, -6643, 7355, 11547)","(-475, 1899, 568)"
2017/07/09/09:31:03.746469,1868,1499563863,746299982,0,"(-6025, -6661, 7314, 11587)","(-515, 1848, 557)"
2017/07/09/09:31:03.778047,1869,1499563863,777272939,0,"(-5972, -6678, 7267, 11634)","(-565, 1755, 571)"
2017/07/09/09:31:03.783834,1870,1499563863,783648967,0,"(-5905, -6700, 7241, 11672)","(-619, 1743, 553)"
2017/07/09/09:31:03.806437,1871,1499563863,806303977,0,"(-5840, -6716, 7221, 11708)","(-518, 1825, 570)"
2017/07/09/09:31:03.828745,1872,1499563863,828568935,0,"(-5798, -6720, 7173, 11756)","(-511, 1888, 592)"
2017/07/09/09:31:03.843984,1873,1499563863,843739986,0,"(-5748, -6722, 7099, 11825)","(-642, 1835, 573)"
2017/07/09/09:31:03.866804,1874,1499563863,866425991,0,"(-5684, -6724, 7027, 11896)","(-691, 1739, 564)"
2017/07/09/09:31:03.888732,1875,1499563863,888570070,0,"(-5623, -6733, 6974, 11952)","(-617, 1733, 587)"
2017/07/09/09:31:03.904072,1876,1499563863,903842926,0,"(-5581, -6730, 6918, 12005)","(-610, 1770, 630)"
2017/07/09/09:31:03.926422,1877,1499563863,926228046,0,"(-5526, -6729, 6866, 12061)","(-714, 1781, 632)"
2017/07/09/09:31:03.958642,1878,1499563863,958528995,0,"(-5480, -6716, 6806, 12123)","(-658, 1823, 667)"
2017/07/09/09:31:03.963426,1879,1499563863,963363885,0,"(-5433, -6687, 6741, 12197)","(-745, 1749, 612)"
2017/07/09/09:31:03.986840,1880,1499563863,986502885,0,"(-5397, -6657, 6665, 12271)","(-648, 1608, 725)"
2017/07/09/09:31:04.008839,1881,1499563864,8651018,0,"(-5365, -6628, 6601, 12334)","(-634, 1649, 760)"
2017/07/09/09:31:04.023705,1882,1499563864,23580074,0,"(-5324, -6600, 6533, 12403)","(-702, 1744, 739)"
2017/07/09/09:31:04.047507,1883,1499563864,47225952,0,"(-5275, -6562, 6453, 12486)","(-800, 1735, 714)"
2017/07/09/09:31:04.068979,1884,1499563864,68773031,0,"(-5246, -6513, 6352, 12575)","(-639, 1689, 751)"
2017/07/09/09:31:04.092153,1885,1499563864,91942071,0,"(-5227, -6459, 6228, 12673)","(-622, 1697, 778)"
2017/07/09/09:31:04.106396,1886,1499563864,106137037,0,"(-5192, -6404, 6093, 12781)","(-788, 1604, 856)"
2017/07/09/09:31:04.129074,1887,1499563864,128745079,0,"(-5148, -6345, 5979, 12881)","(-765, 1526, 900)"
2017/07/09/09:31:04.143680,1888,1499563864,143574953,0,"(-5106, -6290, 5899, 12961)","(-726, 1585, 823)"
2017/07/09/09:31:04.166140,1889,1499563864,166038990,0,"(-5084, -6217, 5798, 13050)","(-666, 1668, 889)"
2017/07/09/09:31:04.205303,1890,1499563864,205146074,0,"(-5068, -6137, 5669, 13151)","(-725, 1542, 1008)"
2017/07/09/09:31:04.206766,1891,1499563864,206634998,0,"(-5026, -6065, 5547, 13252)","(-898, 1451, 996)"
2017/07/09/09:31:04.226353,1892,1499563864,226198911,0,"(-4979, -5996, 5483, 13327)","(-748, 1520, 907)"
2017/07/09/09:31:04.249254,1893,1499563864,248976945,0,"(-4978, -5913, 5416, 13392)","(-532, 1665, 900)"
2017/07/09/09:31:04.272018,1894,1499563864,271758079,0,"(-4982, -5823, 5301, 13476)","(-703, 1468, 1096)"
2017/07/09/09:31:04.286192,1895,1499563864,286068916,0,"(-4960, -5742, 5188, 13563)","(-917, 1361, 1153)"
2017/07/09/09:31:04.308995,1896,1499563864,308713912,0,"(-4925, -5656, 5119, 13637)","(-797, 1409, 1110)"
2017/07/09/09:31:04.333031,1897,1499563864,331921100,0,"(-4910, -5562, 5060, 13703)","(-634, 1606, 1063)"
2017/07/09/09:31:04.346464,1898,1499563864,346334934,0,"(-4915, -5458, 4975, 13774)","(-674, 1464, 1130)"
2017/07/09/09:31:04.368947,1899,1499563864,368815898,0,"(-4900, -5359, 4898, 13846)","(-777, 1261, 1157)"
2017/07/09/09:31:04.392159,1900,1499563864,391971111,0,"(-4885, -5271, 4827, 13910)","(-679, 1412, 1215)"
2017/07/09/09:31:04.406343,1901,1499563864,406157016,0,"(-4897, -5183, 4727, 13972)","(-621, 1488, 1292)"
2017/07/09/09:31:04.428673,1902,1499563864,428546905,0,"(-4898, -5108, 4607, 14040)","(-804, 1278, 1273)"
2017/07/09/09:31:04.443641,1903,1499563864,443528890,0,"(-4874, -5021, 4531, 14104)","(-857, 1263, 1332)"
2017/07/09/09:31:04.466766,1904,1499563864,466516971,0,"(-4865, -4922, 4494, 14154)","(-586, 1215, 1278)"
2017/07/09/09:31:04.489111,1905,1499563864,488893032,0,"(-4875, -4834, 4440, 14198)","(-465, 1403, 1331)"
2017/07/09/09:31:04.503702,1906,1499563864,503576040,0,"(-4882, -4760, 4339, 14252)","(-699, 1272, 1387)"
2017/07/09/09:31:04.535559,1907,1499563864,535235881,0,"(-4874, -4684, 4242, 14309)","(-787, 1152, 1399)"
2017/07/09/09:31:04.549060,1908,1499563864,548790931,0,"(-4874, -4586, 4190, 14355)","(-662, 1242, 1367)"
2017/07/09/09:31:04.564160,1909,1499563864,563869953,0,"(-4883, -4494, 4118, 14403)","(-515, 1348, 1392)"
2017/07/09/09:31:04.586278,1910,1499563864,586139917,0,"(-4885, -4402, 3983, 14468)","(-673, 1290, 1531)"
2017/07/09/09:31:04.608967,1911,1499563864,608834981,0,"(-4867, -4309, 3843, 14540)","(-907, 1095, 1576)"
2017/07/09/09:31:04.631869,1912,1499563864,631779909,0,"(-4858, -4201, 3776, 14592)","(-600, 1116, 1552)"
2017/07/09/09:31:04.646695,1913,1499563864,646394014,0,"(-4863, -4119, 3721, 14627)","(-590, 967, 1507)"
2017/07/09/09:31:04.668634,1914,1499563864,668490886,0,"(-4845, -4056, 3691, 14658)","(-685, 998, 1626)"
2017/07/09/09:31:04.691924,1915,1499563864,691658973,0,"(-4829, -3997, 3660, 14688)","(-751, 1140, 1525)"
2017/07/09/09:31:04.706699,1916,1499563864,706409931,0,"(-4813, -3915, 3652, 14717)","(-714, 979, 1553)"
2017/07/09/09:31:04.729032,1917,1499563864,728847980,0,"(-4799, -3845, 3704, 14727)","(-507, 956, 1542)"
2017/07/09/09:31:04.751702,1918,1499563864,751353025,0,"(-4779, -3803, 3770, 14728)","(-505, 1130, 1420)"
2017/07/09/09:31:04.774527,1919,1499563864,774420976,0,"(-4774, -3746, 3771, 14744)","(-469, 1081, 1424)"
2017/07/09/09:31:04.788731,1920,1499563864,788562059,0,"(-4768, -3684, 3767, 14762)","(-380, 1018, 1482)"
2017/07/09/09:31:04.811407,1921,1499563864,811098098,0,"(-4765, -3641, 3762, 14775)","(-452, 1151, 1585)"
2017/07/09/09:31:04.826842,1922,1499563864,826626062,0,"(-4757, -3602, 3757, 14789)","(-443, 858, 1541)"
2017/07/09/09:31:04.848815,1923,1499563864,848707914,0,"(-4754, -3563, 3771, 14796)","(-333, 1022, 1407)"
2017/07/09/09:31:04.864085,1924,1499563864,863826990,0,"(-4754, -3530, 3760, 14806)","(-447, 1147, 1452)"
2017/07/09/09:31:04.886479,1925,1499563864,886292934,0,"(-4740, -3502, 3746, 14821)","(-449, 923, 1712)"
2017/07/09/09:31:04.909108,1926,1499563864,908946990,0,"(-4722, -3486, 3799, 14817)","(-413, 935, 1522)"
2017/07/09/09:31:04.931450,1927,1499563864,931286096,0,"(-4722, -3461, 3827, 14816)","(-296, 1328, 1431)"
2017/07/09/09:31:04.946267,1928,1499563864,946115016,0,"(-4726, -3426, 3804, 14828)","(-428, 960, 1559)"
2017/07/09/09:31:04.977418,1929,1499563864,977024078,0,"(-4705, -3420, 3853, 14824)","(-331, 1030, 1553)"
2017/07/09/09:31:04.991261,1930,1499563864,991115093,0,"(-4680, -3423, 3895, 14820)","(-273, 1134, 1521)"
2017/07/09/09:31:05.008486,1931,1499563865,8326053,0,"(-4672, -3430, 3909, 14818)","(-437, 1054, 1529)"
2017/07/09/09:31:05.028785,1932,1499563865,28618097,0,"(-4664, -3422, 3917, 14819)","(-478, 1069, 1449)"
2017/07/09/09:31:05.043657,1933,1499563865,43571949,0,"(-4649, -3414, 3914, 14827)","(-342, 1211, 1511)"
2017/07/09/09:31:05.066225,1934,1499563865,66102981,0,"(-4639, -3398, 3857, 14849)","(-290, 921, 1697)"
2017/07/09/09:31:05.088730,1935,1499563865,88624000,0,"(-4627, -3410, 3860, 14849)","(-535, 719, 1669)"
2017/07/09/09:31:05.111313,1936,1499563865,111150026,0,"(-4607, -3432, 3942, 14828)","(-435, 1209, 1443)"
2017/07/09/09:31:05.126434,1937,1499563865,126178979,0,"(-4611, -3428, 3934, 14830)","(-331, 1190, 1335)"
2017/07/09/09:31:05.148863,1938,1499563865,148571968,0,"(-4626, -3395, 3846, 14856)","(-396, 878, 1699)"
2017/07/09/09:31:05.171774,1939,1499563865,171557903,0,"(-4621, -3398, 3828, 14862)","(-419, 722, 1733)"
2017/07/09/09:31:05.186496,1940,1499563865,186359882,0,"(-4619, -3435, 3895, 14836)","(-393, 1223, 1495)"
2017/07/09/09:31:05.208800,1941,1499563865,208637952,0,"(-4635, -3468, 3881, 14827)","(-473, 1332, 1532)"
2017/07/09/09:31:05.231884,1942,1499563865,231632947,0,"(-4650, -3493, 3829, 14831)","(-555, 768, 1730)"
