time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/09:31:23.546309,64687,1499563883,546139955,0,364,152,73,43,47,203,150,149
2017/07/09/09:31:23.561488,64688,1499563883,561296939,0,400,166,75,44,51,249,164,146
2017/07/09/09:31:23.583612,64689,1499563883,583502054,0,483,216,112,131,49,212,162,183
2017/07/09/09:31:23.606658,64690,1499563883,606328010,0,476,214,159,184,60,222,167,221
2017/07/09/09:31:23.628983,64691,1499563883,628714084,0,442,208,191,228,56,229,151,196
2017/07/09/09:31:23.643745,64692,1499563883,643565893,0,437,206,199,239,59,228,164,201
2017/07/09/09:31:23.666343,64693,1499563883,666110992,0,459,219,203,243,56,171,150,220
2017/07/09/09:31:23.688995,64694,1499563883,688659906,0,422,171,193,215,56,215,148,213
2017/07/09/09:31:23.703996,64695,1499563883,703594923,0,398,172,163,175,47,219,139,185
2017/07/09/09:31:23.726198,64696,1499563883,726023912,0,388,171,126,116,41,212,159,190
2017/07/09/09:31:23.748941,64697,1499563883,748747110,0,421,167,114,94,48,275,162,198
2017/07/09/09:31:23.764122,64698,1499563883,763835906,0,359,140,123,87,56,294,164,176
2017/07/09/09:31:23.786266,64699,1499563883,786093950,0,343,127,107,73,56,265,170,165
2017/07/09/09:31:23.808834,64700,1499563883,808609008,0,371,129,99,67,56,264,181,152
2017/07/09/09:31:23.823889,64701,1499563883,823770999,0,473,183,113,79,76,271,170,176
2017/07/09/09:31:23.847631,64702,1499563883,847474098,0,449,276,125,79,70,208,145,193
2017/07/09/09:31:23.868664,64703,1499563883,868489027,0,556,282,112,74,65,194,151,214
2017/07/09/09:31:23.884057,64704,1499563883,883766889,0,564,308,117,70,65,217,156,226
2017/07/09/09:31:23.908186,64705,1499563883,908037900,0,598,320,124,77,71,214,166,262
2017/07/09/09:31:23.928791,64706,1499563883,928678035,0,572,313,118,60,55,205,165,266
2017/07/09/09:31:23.943892,64707,1499563883,943692922,0,730,263,121,62,61,202,169,291
2017/07/09/09:31:23.966278,64708,1499563883,966052055,0,724,270,123,69,77,208,167,316
2017/07/09/09:31:23.988747,64709,1499563883,988565921,0,747,252,126,80,86,191,173,320
2017/07/09/09:31:24.003940,64710,1499563884,3530025,0,717,236,120,78,86,167,149,347
2017/07/09/09:31:24.027096,64711,1499563884,26653051,0,710,223,121,85,88,162,150,398
2017/07/09/09:31:24.048679,64712,1499563884,48532009,0,626,216,104,84,88,192,146,403
2017/07/09/09:31:24.063729,64713,1499563884,63532114,0,619,219,107,82,76,168,145,415
2017/07/09/09:31:24.086606,64714,1499563884,86225032,0,639,228,98,73,68,172,141,421
2017/07/09/09:31:24.109163,64715,1499563884,108721971,0,663,240,96,67,64,226,148,411
2017/07/09/09:31:24.127677,64716,1499563884,127562999,0,649,239,94,60,66,246,170,379
2017/07/09/09:31:24.146374,64717,1499563884,146095991,0,643,241,107,69,74,230,176,360
2017/07/09/09:31:24.169568,64718,1499563884,168943881,0,695,232,109,70,76,245,174,373
2017/07/09/09:31:24.185129,64719,1499563884,184976100,0,732,223,113,74,80,246,165,381
2017/07/09/09:31:24.206557,64720,1499563884,206094980,0,729,231,124,80,83,233,174,375
2017/07/09/09:31:24.229282,64721,1499563884,228979110,0,752,241,127,104,100,225,155,381
2017/07/09/09:31:24.244374,64722,1499563884,244165897,0,714,224,118,102,106,319,177,424
2017/07/09/09:31:24.266222,64723,1499563884,266113042,0,724,233,110,102,105,339,224,406
2017/07/09/09:31:24.289472,64724,1499563884,288990974,0,643,232,109,101,104,336,222,402
2017/07/09/09:31:24.303744,64725,1499563884,303514003,0,658,216,122,143,135,350,219,384
2017/07/09/09:31:24.329415,64726,1499563884,329204082,0,707,270,143,129,122,355,228,460
2017/07/09/09:31:24.349372,64727,1499563884,349054098,0,759,337,158,136,118,311,259,478
2017/07/09/09:31:24.365662,64728,1499563884,365478038,0,713,342,164,149,128,308,228,512
2017/07/09/09:31:24.386564,64729,1499563884,386415004,0,724,349,162,152,136,305,233,549
