time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/09:42:03.747905,5349,1499564523,747737884,0,"(-5008, -4156, 8892, 12125)","(-103, 1883, 582)"
2017/07/09/09:42:03.770425,5350,1499564523,770338058,0,"(-4980, -4223, 8865, 12133)","(-134, 1898, 578)"
2017/07/09/09:42:03.785750,5351,1499564523,785491943,0,"(-4951, -4287, 8832, 12146)","(-144, 1893, 566)"
2017/07/09/09:42:03.808024,5352,1499564523,807796955,0,"(-4927, -4346, 8786, 12168)","(-130, 1865, 608)"
2017/07/09/09:42:03.838859,5353,1499564523,838654041,0,"(-4894, -4417, 8745, 12185)","(-197, 1870, 562)"
2017/07/09/09:42:03.845518,5354,1499564523,845319986,0,"(-4857, -4486, 8705, 12204)","(-238, 1903, 578)"
2017/07/09/09:42:03.867988,5355,1499564523,867810964,0,"(-4821, -4550, 8665, 12223)","(-232, 1905, 573)"
2017/07/09/09:42:03.890349,5356,1499564523,890221118,0,"(-4788, -4613, 8618, 12245)","(-277, 1879, 597)"
2017/07/09/09:42:03.905500,5357,1499564523,905272960,0,"(-4758, -4674, 8568, 12269)","(-298, 1884, 594)"
2017/07/09/09:42:03.928239,5358,1499564523,928014039,0,"(-4722, -4733, 8517, 12295)","(-326, 1956, 554)"
2017/07/09/09:42:03.955095,5359,1499564523,954998016,0,"(-4679, -4791, 8465, 12325)","(-372, 1924, 566)"
2017/07/09/09:42:03.965498,5360,1499564523,965281009,0,"(-4636, -4845, 8417, 12354)","(-377, 1869, 616)"
2017/07/09/09:42:03.990038,5361,1499564523,989911079,0,"(-4593, -4895, 8368, 12383)","(-389, 1875, 613)"
2017/07/09/09:42:04.010824,5362,1499564524,10603904,0,"(-4545, -4946, 8326, 12408)","(-407, 1886, 585)"
2017/07/09/09:42:04.025798,5363,1499564524,25509119,0,"(-4489, -4998, 8288, 12434)","(-428, 1889, 591)"
2017/07/09/09:42:04.049185,5364,1499564524,49036979,0,"(-4435, -5045, 8241, 12465)","(-462, 1932, 580)"
2017/07/09/09:42:04.070941,5365,1499564524,70660114,0,"(-4392, -5079, 8184, 12505)","(-454, 1905, 583)"
2017/07/09/09:42:04.085693,5366,1499564524,85469007,0,"(-4347, -5111, 8119, 12550)","(-504, 1837, 623)"
2017/07/09/09:42:04.116227,5367,1499564524,115936994,0,"(-4285, -5146, 8062, 12593)","(-550, 1765, 612)"
2017/07/09/09:42:04.130546,5368,1499564524,130345106,0,"(-4211, -5180, 8029, 12625)","(-578, 1829, 618)"
2017/07/09/09:42:04.145607,5369,1499564524,145361900,0,"(-4146, -5201, 7996, 12659)","(-521, 1866, 600)"
2017/07/09/09:42:04.168598,5370,1499564524,168230056,0,"(-4092, -5210, 7947, 12703)","(-511, 1855, 650)"
2017/07/09/09:42:04.190275,5371,1499564524,190152883,0,"(-4041, -5220, 7890, 12751)","(-547, 1788, 694)"
2017/07/09/09:42:04.205252,5372,1499564524,205159902,0,"(-3985, -5230, 7829, 12802)","(-609, 1794, 656)"
2017/07/09/09:42:04.228259,5373,1499564524,227943897,0,"(-3915, -5236, 7763, 12861)","(-624, 1765, 683)"
2017/07/09/09:42:04.251033,5374,1499564524,250719070,0,"(-3842, -5242, 7697, 12920)","(-591, 1729, 771)"
2017/07/09/09:42:04.266082,5375,1499564524,265762090,0,"(-3773, -5252, 7628, 12978)","(-643, 1760, 757)"
2017/07/09/09:42:04.287821,5376,1499564524,287673950,0,"(-3700, -5258, 7560, 13036)","(-680, 1771, 678)"
2017/07/09/09:42:04.312226,5377,1499564524,312020063,0,"(-3619, -5260, 7497, 13094)","(-711, 1692, 731)"
2017/07/09/09:42:04.333272,5378,1499564524,333095073,0,"(-3547, -5253, 7445, 13146)","(-636, 1710, 782)"
2017/07/09/09:42:04.348602,5379,1499564524,348459959,0,"(-3484, -5239, 7388, 13200)","(-642, 1700, 753)"
2017/07/09/09:42:04.370492,5380,1499564524,370310068,0,"(-3419, -5221, 7315, 13265)","(-714, 1639, 789)"
2017/07/09/09:42:04.393620,5381,1499564524,393403053,0,"(-3336, -5199, 7262, 13324)","(-727, 1551, 799)"
2017/07/09/09:42:04.408242,5382,1499564524,407967090,0,"(-3261, -5170, 7234, 13369)","(-649, 1697, 771)"
2017/07/09/09:42:04.430517,5383,1499564524,430196046,0,"(-3214, -5124, 7193, 13420)","(-582, 1713, 781)"
2017/07/09/09:42:04.453061,5384,1499564524,452893972,0,"(-3168, -5079, 7137, 13478)","(-645, 1589, 785)"
2017/07/09/09:42:04.468503,5385,1499564524,468184947,0,"(-3117, -5029, 7077, 13540)","(-615, 1557, 856)"
2017/07/09/09:42:04.490357,5386,1499564524,490192890,0,"(-3047, -4982, 7026, 13600)","(-669, 1522, 862)"
2017/07/09/09:42:04.513118,5387,1499564524,512943983,0,"(-2969, -4935, 7004, 13646)","(-646, 1619, 856)"
2017/07/09/09:42:04.527964,5388,1499564524,527787923,0,"(-2925, -4884, 6977, 13687)","(-592, 1672, 834)"
2017/07/09/09:42:04.551462,5389,1499564524,550659894,0,"(-2906, -4825, 6914, 13744)","(-575, 1578, 946)"
2017/07/09/09:42:04.573606,5390,1499564524,573172092,0,"(-2862, -4773, 6852, 13802)","(-693, 1414, 956)"
2017/07/09/09:42:04.588216,5391,1499564524,588068008,0,"(-2796, -4725, 6837, 13840)","(-762, 1514, 951)"
2017/07/09/09:42:04.612073,5392,1499564524,611793994,0,"(-2754, -4667, 6830, 13871)","(-596, 1621, 920)"
2017/07/09/09:42:04.633435,5393,1499564524,633142948,0,"(-2746, -4596, 6798, 13912)","(-511, 1569, 991)"
2017/07/09/09:42:04.648231,5394,1499564524,647969961,0,"(-2723, -4538, 6759, 13955)","(-690, 1437, 1031)"
2017/07/09/09:42:04.672205,5395,1499564524,672036886,0,"(-2685, -4481, 6749, 13985)","(-681, 1439, 1027)"
2017/07/09/09:42:04.695995,5396,1499564524,695816040,0,"(-2647, -4410, 6757, 14011)","(-678, 1505, 954)"
2017/07/09/09:42:04.707921,5397,1499564524,707808017,0,"(-2633, -4322, 6756, 14041)","(-516, 1531, 1036)"
2017/07/09/09:42:04.730448,5398,1499564524,730262041,0,"(-2631, -4238, 6740, 14075)","(-552, 1443, 1013)"
2017/07/09/09:42:04.754799,5399,1499564524,753268003,0,"(-2609, -4155, 6730, 14109)","(-631, 1454, 995)"
2017/07/09/09:42:04.767702,5400,1499564524,767622947,0,"(-2587, -4059, 6735, 14138)","(-497, 1473, 1095)"
2017/07/09/09:42:04.790613,5401,1499564524,790451049,0,"(-2576, -3973, 6741, 14162)","(-526, 1532, 970)"
2017/07/09/09:42:04.813040,5402,1499564524,812796115,0,"(-2585, -3877, 6733, 14190)","(-455, 1511, 991)"
2017/07/09/09:42:04.828244,5403,1499564524,827989101,0,"(-2590, -3783, 6720, 14221)","(-508, 1407, 1094)"
2017/07/09/09:42:04.858560,5404,1499564524,858361005,0,"(-2579, -3700, 6742, 14235)","(-494, 1396, 1117)"
2017/07/09/09:42:04.873492,5405,1499564524,873214960,0,"(-2583, -3610, 6772, 14243)","(-375, 1563, 1101)"
2017/07/09/09:42:04.888168,5406,1499564524,887955904,0,"(-2607, -3515, 6770, 14263)","(-317, 1494, 1117)"
2017/07/09/09:42:04.910449,5407,1499564524,910296916,0,"(-2632, -3444, 6788, 14267)","(-437, 1381, 1138)"
2017/07/09/09:42:04.932915,5408,1499564524,932714939,0,"(-2645, -3382, 6824, 14263)","(-448, 1521, 1169)"
2017/07/09/09:42:04.949876,5409,1499564524,949723958,0,"(-2663, -3319, 6844, 14265)","(-459, 1553, 1196)"
2017/07/09/09:42:04.970740,5410,1499564524,970582962,0,"(-2693, -3239, 6857, 14271)","(-326, 1522, 1102)"
2017/07/09/09:42:04.992904,5411,1499564524,992799043,0,"(-2723, -3172, 6873, 14273)","(-339, 1556, 1143)"
2017/07/09/09:42:05.007929,5412,1499564525,7720947,0,"(-2745, -3112, 6899, 14269)","(-324, 1568, 1182)"
2017/07/09/09:42:05.030410,5413,1499564525,30242919,0,"(-2767, -3060, 6933, 14260)","(-325, 1664, 1171)"
2017/07/09/09:42:05.060995,5414,1499564525,60882091,0,"(-2803, -3010, 6944, 14258)","(-324, 1673, 1139)"
2017/07/09/09:42:05.068496,5415,1499564525,68389892,0,"(-2840, -2949, 6936, 14267)","(-232, 1534, 1088)"
2017/07/09/09:42:05.099584,5416,1499564525,99014997,0,"(-2868, -2908, 6940, 14268)","(-199, 1543, 1184)"
2017/07/09/09:42:05.113926,5417,1499564525,113692045,0,"(-2885, -2873, 6963, 14261)","(-222, 1667, 1156)"
2017/07/09/09:42:05.135602,5418,1499564525,135369062,0,"(-2912, -2840, 6977, 14255)","(-152, 1755, 1227)"
2017/07/09/09:42:05.154289,5419,1499564525,154174089,0,"(-2953, -2815, 6957, 14261)","(-195, 1633, 1126)"
2017/07/09/09:42:05.173549,5420,1499564525,173232078,0,"(-2983, -2779, 6940, 14270)","(-147, 1472, 1187)"
2017/07/09/09:42:05.189141,5421,1499564525,188766002,0,"(-2999, -2763, 6950, 14265)","(-146, 1549, 1223)"
2017/07/09/09:42:05.195675,5422,1499564525,195503950,0,"(-3023, -2757, 6982, 14245)","(-151, 1729, 1163)"
2017/07/09/09:42:05.218050,5423,1499564525,217798948,0,"(-3053, -2753, 6977, 14242)","(-169, 1774, 1231)"
2017/07/09/09:42:05.242699,5424,1499564525,242444038,0,"(-3082, -2761, 6945, 14250)","(-229, 1562, 1252)"
2017/07/09/09:42:05.255719,5425,1499564525,255455970,0,"(-3106, -2775, 6939, 14245)","(-289, 1511, 1169)"
2017/07/09/09:42:05.278074,5426,1499564525,277906894,0,"(-3120, -2792, 6966, 14226)","(-248, 1637, 1159)"
2017/07/09/09:42:05.301110,5427,1499564525,300920963,0,"(-3132, -2812, 6989, 14208)","(-198, 1697, 1111)"
2017/07/09/09:42:05.316078,5428,1499564525,315671920,0,"(-3136, -2837, 6998, 14198)","(-255, 1727, 1131)"
2017/07/09/09:42:05.338914,5429,1499564525,338641881,0,"(-3146, -2861, 7000, 14189)","(-254, 1664, 1127)"
2017/07/09/09:42:05.361120,5430,1499564525,360865116,0,"(-3155, -2892, 6996, 14183)","(-273, 1613, 1093)"
2017/07/09/09:42:05.375639,5431,1499564525,375364065,0,"(-3152, -2921, 6984, 14184)","(-270, 1550, 1085)"
2017/07/09/09:42:05.398690,5432,1499564525,398452997,0,"(-3138, -2941, 6978, 14186)","(-298, 1536, 1095)"
2017/07/09/09:42:05.429314,5433,1499564525,428894042,0,"(-3125, -2956, 6991, 14179)","(-289, 1557, 1212)"
2017/07/09/09:42:05.435210,5434,1499564525,435094118,0,"(-3117, -2987, 7025, 14157)","(-313, 1600, 1130)"
2017/07/09/09:42:05.457909,5435,1499564525,457777023,0,"(-3109, -3017, 7035, 14148)","(-285, 1705, 1047)"
2017/07/09/09:42:05.488897,5436,1499564525,488637924,0,"(-3101, -3033, 7012, 14157)","(-291, 1528, 1051)"
