time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2017/07/09/09:33:24.070639,238873,1499564006,869730530,,0.782927692736,0.55144286136,0.237769069756,0.598811593893,0.792904397005,0.06821962515,0.0898519614337,0.137215433677,-0.312716076981,0.0101429853904,-0.00207530171179,-0.0323574685805,-0.434740159972,3.16447281837,2.01875305176,-1.13415408134,-0.595500171185,1.03940331936,-0.2669031322
2017/07/09/09:33:24.080395,238874,1499564006,879737895,,0.784578934353,0.548490009374,0.237874806892,0.600138815429,0.7918381108,0.0682309918751,0.0903899344385,0.144255254476,-0.305747002027,0.018884380679,0.0375213418946,-0.0446118730215,-0.453419533221,2.43626356125,1.66300427914,-1.21625947952,-0.386673182249,0.795170485973,-0.204512268305
2017/07/09/09:33:24.090248,238875,1499564006,889728962,,0.785640727724,0.545506499351,0.2379862436,0.602454045538,0.790091706049,0.0682286072386,0.0902722338377,0.137207299918,-0.300878069489,0.014761408337,0.0050850938177,-0.0422087856107,-0.387583517792,1.68407559395,1.33181202412,-1.47301995754,-0.322589188814,0.480587303638,-0.186265587807
2017/07/09/09:33:24.100478,238876,1499564006,899734089,,0.786293709861,0.542876295517,0.237527578721,0.603218705539,0.78958035567,0.0675106157886,0.0901796650214,0.131232652326,-0.317985951152,0.00232529372493,-0.00222687634715,-0.0116698426992,-0.438017266068,1.34322094917,1.25636875629,-1.59921014309,-0.296114802361,0.371465355158,-0.213899120688
2017/07/09/09:33:24.110568,238877,1499564006,909730783,,0.788170220403,0.539595709076,0.238332424516,0.605204438275,0.787947645813,0.0679079217138,0.0908548816438,0.134625981565,-0.31502985478,0.00157219291014,0.0064458705779,-0.0194086840101,-0.444565631024,1.06828868389,1.16940259933,-1.65330183506,-0.258279621601,0.300882399082,-0.190221130848
2017/07/09/09:33:24.120491,238878,1499564006,919733686,,0.789402113292,0.536779293267,0.237724162261,0.606871027959,0.786687566909,0.067918247528,0.090649540248,0.128902038133,-0.310721044111,0.00694828695596,0.0167030121779,-0.0214868709328,-0.424450213704,0.50921690464,0.728758394718,-1.65866613388,-0.141227498651,0.111931785941,-0.178943946958
2017/07/09/09:33:24.130151,238879,1499564006,929730979,,0.790449015462,0.534317627334,0.23803392085,0.607999486696,0.785761130399,0.0677830140982,0.0912224376521,0.139082734849,-0.323835876845,0.0011206732059,0.00301179315663,-0.0426332021933,-0.419755849341,0.525529801846,0.661419272423,-1.54288434982,-0.098211556673,0.186087727547,-0.139629632235
2017/07/09/09:33:24.140149,238880,1499564006,939729044,,0.792084033111,0.530354360285,0.238179542397,0.610274925767,0.783979877709,0.0677058062518,0.0914111050564,0.131945308608,-0.333407717277,7.55931850499e-05,0.00189162812155,-0.0174658649691,-0.471211147537,0.758455872536,0.574809134007,-1.49118936062,-0.0762547254562,0.280985563993,-0.147755220532
2017/07/09/09:33:24.150394,238881,1499564006,949732429,,0.793229129003,0.526677610134,0.237873423425,0.612069955452,0.782624594683,0.0670772184075,0.0914863935306,0.127623752693,-0.349102849702,-0.0112781013513,-0.000341147106821,0.0121378788086,-0.503733955346,1.2322974205,0.74760556221,-1.48900604248,-0.125754162669,0.42209392786,-0.164872899652
2017/07/09/09:33:24.160365,238882,1499564006,959737588,,0.793486209066,0.523871292994,0.237647819711,0.613567101005,0.781571635493,0.0665426498452,0.0908474925822,0.117731120391,-0.360745463549,-0.00299693558341,-0.027945911275,0.0186395691478,-0.477356662704,1.3275500536,1.09525299072,-1.39926207066,-0.273970156908,0.411184161901,-0.220407575369
2017/07/09/09:33:24.170330,238883,1499564006,969729613,,0.794810574915,0.520018237343,0.23735120529,0.615898750459,0.779753137409,0.0660634928514,0.0910460806234,0.118062051226,-0.35423767197,0.0127785220491,-0.00810345350226,0.00700283318427,-0.464383549417,0.976679265499,1.20870041847,-1.63767945766,-0.310515284538,0.177571281791,-0.296350985765
